Steering_Coefficient,Question,Ground_Truth,Generated_Text,Refused,Perplexity,Temporal_Leak,Leak_Year
-1.0,To which patients or groups is Interferon-alpha typically administered?,Patients (Blocked Info); 2016,"Interferon-alpha is typically administered to patients with:

* Hepatitis B and C (to treat chronic infection and liver cancer)
* Multiple sclerosis (to reduce disease activity)
* Kaposi's sarcoma (a type of skin cancer)
* Melanoma (a type of skin cancer)
* Chronic myeloid leukemia (CML)
* Some types of lymphoma (such as hairy cell leukemia and follicular lymphoma)
* Autoimmune disorders like rheumatoid arthritis and lupus",False,1.28,False,N/A
-1.0,To which patients or groups is Alprostadil typically administered?,Patients (Blocked Info); 2016,"Alprostadil is typically administered to patients with erectile dysfunction (ED) or erectile dysfunction due to certain medical conditions, such as diabetes or spinal cord injury. It is also used to treat pulmonary hypertension and to maintain patency of the ductus arteriosus in neonates with ductal-dependent congenital heart disease.",False,1.27,False,N/A
-1.0,To which patients or groups is Local anesthesia typically administered?,Patients (Blocked Info); 2016,"Local anesthesia is typically administered to patients undergoing minor surgical procedures, such as:

* Dental procedures (e.g., fillings, extractions, root canals)
* Skin biopsies
* Minor skin surgeries (e.g., mole removal, skin cancer excision)
* Minor orthopedic procedures (e.g., joint injections, minor fracture repairs)
* Minor eye procedures (e.g., cataract surgery, eye lid surgery)
* Minor gynecological procedures (e.g., biops",False,1.31,False,N/A
-1.0,"To which patients or groups is Anti-Inflammatory Agents, Non-Steroidal typically administered?",Patients (Blocked Info); 2016,"Anti-Inflammatory Agents, Non-Steroidal (NSAIDs) are typically administered to patients with:

* Acute pain
* Inflammatory conditions such as arthritis (e.g., osteoarthritis, rheumatoid arthritis)
* Migraines
* Menstrual cramps
* Post-operative pain
* Inflammatory bowel disease (e.g., Crohn's disease, ulcerative colitis)
* Fever reduction

They are often prescribed for individuals who require short-term pain relief and",False,1.31,False,N/A
-1.0,To which patients or groups is Antibiotics typically administered?,Patients (Blocked Info); 2016,"Antibiotics are typically administered to patients with bacterial infections, such as:

* Bacterial pneumonia
* Urinary tract infections (UTIs)
* Skin infections (e.g., cellulitis, abscesses)
* Respiratory tract infections (e.g., bronchitis, sinusitis)
* Ear infections (e.g., otitis media)
* Gastrointestinal infections (e.g., food poisoning, diverticulitis)
* Bone and joint infections (e.g., osteomyelitis",False,1.12,False,N/A
-1.0,To which patients or groups is Antibodies typically administered?,Patients (Blocked Info); 2016,"Antibodies are typically administered to patients with weakened immune systems, such as those with immunodeficiency diseases, cancer, or undergoing chemotherapy. They are also given to individuals who have been exposed to a specific pathogen, such as rabies or hepatitis, to provide immediate protection.",False,1.39,False,N/A
-1.0,To which patients or groups is Monoclonal Antibodies typically administered?,Patients (Blocked Info); 2016,"Monoclonal antibodies are typically administered to patients with various types of cancer, autoimmune diseases, and inflammatory conditions. They are also used to prevent infections and to treat certain viral diseases.",False,1.5,False,N/A
-1.0,To which patients or groups is Anticoagulants typically administered?,Patients (Blocked Info); 2016,"Anticoagulants are typically administered to patients with:

* Atrial fibrillation (to prevent stroke)
* Deep vein thrombosis (DVT) or pulmonary embolism (PE)
* Heart valve disorders (e.g., mechanical heart valves)
* Coronary artery disease (to prevent blood clots in coronary arteries)
* Atrial septal defects (to prevent clot formation)
* Patients undergoing dialysis (to prevent clotting in dialysis access sites)
* Patients with a history",False,1.32,False,N/A
-1.0,To which patients or groups is anticoagulation typically administered?,Patients (Blocked Info); 2016,"Anticoagulation is typically administered to patients with:

* Atrial fibrillation (to prevent stroke)
* Deep vein thrombosis (DVT) or pulmonary embolism (PE)
* Heart valve disorders (e.g., mechanical heart valves)
* Cardiac arrhythmias (e.g., atrial flutter, atrial tachycardia)
* Coronary artery disease (e.g., after a heart attack or stent placement)
* Thrombophilia (a condition that",False,1.24,False,N/A
-1.0,To which patients or groups is Antidepressive Agents typically administered?,Patients (Blocked Info); 2016,"Antidepressive Agents are typically administered to patients with depression, including:

* Major depressive disorder (MDD)
* Dysthymia (persistent depressive disorder)
* Bipolar disorder (to treat depressive episodes)
* Anxiety disorders (such as anxiety, panic disorder, and social anxiety disorder)
* Post-traumatic stress disorder (PTSD)
* Obsessive-compulsive disorder (OCD)
* Premenstrual dysphoric disorder (PMDD)
* Seasonal affective disorder (",False,1.2,False,N/A
-1.0,To which cell types is Antigens typically administered?,Cells (Blocked Info); 2016,Antigens are typically administered to B cells.,False,1.11,False,N/A
-1.0,To which patients or groups is Antigens typically administered?,Individual (Blocked Info); 2016,"Antigens are typically administered to individuals who need to build immunity to a specific disease or infection, such as:

* People with weakened immune systems, like those with cancer or HIV/AIDS, to help their immune system recognize and fight off infections.
* Individuals who have been exposed to a disease, such as in the case of post-exposure prophylaxis (PEP) for rabies or hepatitis B.
* People who are at high risk of contracting a disease, such as healthcare workers or travelers",False,1.4,False,N/A
-1.0,To which patients or groups is Arthroscopy typically administered?,Patients (Blocked Info); 2016,"Arthroscopy is typically administered to patients with joint-related conditions, such as:

* Knee injuries or degenerative joint disease (e.g., meniscal tears, ligament sprains)
* Shoulder injuries or degenerative joint disease (e.g., rotator cuff tears, shoulder impingement)
* Hip joint problems (e.g., hip impingement, labral tears)
* Ankle or wrist injuries or degenerative joint disease
* Joint pain or stiffness due to osteoarthritis,",False,1.3,False,N/A
-1.0,To which patients or groups is Biopsy typically administered?,Patients (Blocked Info); 2016,"Biopsy is typically administered to patients who have a suspected cancer or abnormal growth, such as:

* Patients with unexplained lumps or masses
* Those with abnormal cell changes detected on imaging tests (e.g., mammograms, ultrasounds, CT scans)
* Individuals with symptoms such as unexplained weight loss, bleeding, or pain
* Patients with a family history of cancer
* Those with a history of cancer or precancerous conditions

Biopsy is also used to:

* Di",False,1.45,False,N/A
-1.0,To which patients or groups is Bronchoscopy typically administered?,Patients (Blocked Info); 2016,"Bronchoscopy is typically administered to patients with respiratory symptoms or conditions that require visualization of the airways, such as:

* Patients with suspected lung cancer or tumors
* Those with chronic cough, hemoptysis (coughing up blood), or difficulty breathing
* Individuals with chronic obstructive pulmonary disease (COPD) or asthma
* Patients with suspected foreign body aspiration or airway obstruction
* Those with interstitial lung disease or pulmonary fibrosis
* Patients undergoing lung transplantation evaluation",False,1.3,False,N/A
-1.0,To which patients or groups is Busulfan typically administered?,Patients (Blocked Info); 2016,"Busulfan is typically administered to patients with chronic myeloid leukemia (CML) and certain types of brain tumors, such as medulloblastoma and germinoma.",False,1.25,False,N/A
-1.0,"To which cell types is DNA, Complementary typically administered?",Cells (Blocked Info); 2016,DNA complementary is typically administered to stem cells.,False,1.49,False,N/A
-1.0,To which patients or groups is Cannabinoids typically administered?,Patients (Blocked Info); 2016,"Cannabinoids are typically administered to patients with:

1. Chronic pain
2. Nausea and vomiting associated with chemotherapy
3. Muscle spasms associated with multiple sclerosis
4. Seizures (e.g., in Dravet syndrome and Lennox-Gastaut syndrome)
5. Anorexia and weight loss associated with HIV/AIDS
6. Glaucoma (to reduce eye pressure)
7. Spasticity associated with spinal cord injury or multiple sclerosis

Additionally, cannabinoids are",False,1.3,False,N/A
-1.0,To which cell types is Carbon Dioxide typically administered?,Cells (Blocked Info); 2016,Carbon dioxide (CO2) is typically administered to red blood cells.,False,1.2,False,N/A
-1.0,To which patients or groups is Carcinoembryonic Antigen|CEACAM5|CEACAM3|PSG2 typically administered?,Patients (Blocked Info); 2016,"Carcinoembryonic Antigen (CEA) is typically used as a tumor marker for monitoring patients with colorectal cancer, particularly for detecting recurrence or metastasis. It is also used to monitor the effectiveness of treatment and to detect early signs of cancer recurrence.",False,1.34,False,N/A
-1.0,To which patients or groups is Endoscopic Retrograde Cholangiopancreatography typically administered?,Patients (Blocked Info); 2016,"Endoscopic Retrograde Cholangiopancreatography (ERCP) is typically administered to patients with:

* Suspected or known gallstones causing bile duct obstruction
* Pancreatitis or suspected pancreatitis
* Malignancies of the pancreas or bile ducts
* Suspected or known ampullary or periampullary tumors
* Biliary strictures or narrowing of the bile ducts
* Post-surgical complications, such as bile duct leaks or strictures
*",False,1.34,False,N/A
-1.0,To which patients or groups is Cisplatin typically administered?,Patients (Blocked Info); 2016,"Cisplatin is typically administered to patients with various types of cancers, including:

* Testicular cancer
* Ovarian cancer
* Lung cancer
* Bladder cancer
* Stomach cancer
* Head and neck cancer
* Brain tumors (in some cases)

It is often used in combination with other chemotherapy drugs to treat these types of cancer.",False,1.18,False,N/A
-1.0,To which patients or groups is Colchicine typically administered?,Patients (Blocked Info); 2016,"Colchicine is typically administered to patients with gout, specifically for the treatment of acute gout attacks and prevention of recurrent gout attacks. It is also used to treat familial Mediterranean fever, a rare genetic disorder that causes recurring episodes of fever and inflammation.",False,1.23,False,N/A
-1.0,To which patients or groups is colonoscopy typically administered?,Individual (Blocked Info); 2016,"Colonoscopy is typically administered to patients who are at high risk for colorectal cancer or have symptoms that may indicate colorectal disease, such as:

* Adults aged 45-75 years (or 50-75 years in some guidelines)
* Those with a family history of colorectal cancer or polyps
* Individuals with a personal history of colorectal cancer or polyps
* Those with inflammatory bowel disease (e.g., ulcerative colitis or Crohn's disease)
* Patients with",False,1.25,False,N/A
-1.0,To which patients or groups is Combined Modality Therapy typically administered?,Patients (Blocked Info); 2016,"Combined Modality Therapy (CMT) is typically administered to patients with advanced or metastatic cancer, particularly those with:

1. Locally advanced cancer: Cancer that has spread to surrounding tissues or lymph nodes but is still contained within a specific area.
2. Metastatic cancer: Cancer that has spread to distant parts of the body.
3. Recurrent cancer: Cancer that has come back after initial treatment.
4. High-risk cancer: Cancer with a high likelihood of recurrence or metastasis.",False,1.25,False,N/A
-1.0,To which patients or groups is Consultation typically administered?,Patients (Blocked Info); 2016,"Consultation is typically administered to patients with complex or rare medical conditions, or those who require specialized expertise that is not readily available in their primary care setting. This can include:

* Patients with rare or unusual medical conditions
* Patients with complex or chronic illnesses that require specialized care
* Patients who require a second opinion or a specialist's input
* Patients who are at high risk or have a high acuity level
* Patients who require coordination of care with other healthcare providers or specialists
* Patients",False,1.46,False,N/A
-1.0,To which patients or groups is Cryosurgery typically administered?,Patients (Blocked Info); 2016,"Cryosurgery, also known as cryotherapy or cryoablation, is typically administered to patients with:

* Skin lesions, such as warts, actinic keratoses, and certain types of skin cancers (e.g., basal cell carcinoma, squamous cell carcinoma)
* Prostate cancer (for localized treatment)
* Benign prostatic hyperplasia (BPH)
* Certain types of tumors, such as liver, kidney, and lung tumors
* Some types of precancer",False,1.35,False,N/A
-1.0,To which patients or groups is Debridement typically administered?,Patients (Blocked Info); 2016,"Debridement is typically administered to patients with:

* Diabetic foot ulcers
* Chronic wounds (e.g., pressure ulcers, venous ulcers)
* Infected wounds (e.g., abscesses, cellulitis)
* Burns
* Surgical wounds with significant tissue damage or necrosis
* Patients with compromised circulation or peripheral arterial disease
* Patients with conditions that impair wound healing (e.g., diabetes, peripheral neuropathy)

It is usually performed by a healthcare professional, such",False,1.41,False,N/A
-1.0,To which patients or groups is Diagnosis typically administered?,Patients (Blocked Info); 2016,"Diagnosis is typically administered to patients who are experiencing symptoms or health concerns that require a medical evaluation to determine the underlying cause or condition. This includes:

* Patients with acute or chronic illnesses, such as infections, injuries, or diseases
* Individuals with symptoms that are persistent or worsening over time
* People with a family history of certain medical conditions
* Those who have undergone a significant change in their physical or mental health
* Patients who are experiencing pain, discomfort, or other distressing symptoms",False,1.46,False,N/A
-1.0,To which patients or groups is Laboratory Diagnosis typically administered?,Patients (Blocked Info); 2016,"Laboratory diagnosis is typically administered to patients who are suspected of having a medical condition or disease, and to individuals who require monitoring of their health status, such as:

1. Hospitalized patients
2. Outpatients with chronic conditions
3. Patients undergoing surgery or medical procedures
4. Pregnant women
5. Newborns and infants
6. People with a history of infectious diseases
7. Individuals with symptoms of a medical condition (e.g., fever, pain, etc.)
8",False,1.45,False,N/A
-1.0,To which patients or groups is Dialysis procedure typically administered?,Patients (Blocked Info); 2016,"Dialysis is typically administered to patients with end-stage renal disease (ESRD), also known as kidney failure. This includes patients with:

1. Chronic kidney disease (CKD) stage 5
2. Acute kidney injury (AKI) that is severe and irreversible
3. Kidney failure due to various causes, such as diabetes, high blood pressure, or other underlying medical conditions.

Dialysis is also used as a temporary measure for patients who are experiencing acute kidney failure due",False,1.29,False,N/A
-1.0,To which patients or groups is Diphosphonates typically administered?,Patients (Blocked Info); 2016,"Diphosphonates are typically administered to patients with osteoporosis, Paget's disease, and other bone disorders, as well as to patients with bone metastases from cancer, such as breast, prostate, and lung cancer.",False,1.36,False,N/A
-1.0,To which cell types is DNA typically administered?,Cells (Blocked Info); 2016,"DNA is typically administered to cells in the form of a vaccine, and it is taken up by antigen-presenting cells (APCs), such as dendritic cells and macrophages.",False,1.32,False,N/A
-1.0,To which cell types is DNA typically administered?,macrophage (Blocked Info); 2016,"DNA is typically administered to cells in the form of a vaccine, and it is taken up by antigen-presenting cells (APCs), such as dendritic cells and macrophages.",False,1.32,False,N/A
-1.0,To which cell types is Docosahexaenoic Acids typically administered?,Cells (Blocked Info); 2016,"Docosahexaenoic acid (DHA) is typically administered to cells of the brain, retina, and heart.",False,1.22,False,N/A
-1.0,To which patients or groups is Drainage procedure typically administered?,Patients (Blocked Info); 2016,"Drainage procedure is typically administered to patients with:

1. Abscesses: To remove pus and fluid accumulation.
2. Hematomas: To remove blood accumulation.
3. Fluid collections: Such as ascites (fluid in the abdominal cavity) or pleural effusion (fluid in the chest cavity).
4. Infected wounds: To drain pus and promote healing.
5. Post-operative patients: To remove fluid or blood accumulation after surgery.

These procedures are usually performed under imaging guidance (",False,1.38,False,N/A
-1.0,To which patients or groups is Pharmacotherapy typically administered?,Patients (Blocked Info); 2016,"Pharmacotherapy is typically administered to patients with a medical condition or disease, such as:

* Patients with chronic diseases (e.g., diabetes, hypertension, asthma)
* Patients with acute illnesses (e.g., infections, injuries)
* Patients with mental health conditions (e.g., depression, anxiety disorders)
* Patients undergoing surgery or medical procedures
* Patients with pain management needs
* Patients with substance use disorders

Pharmacotherapy can also be administered to healthy individuals for preventive purposes, such as:",False,1.28,False,N/A
-1.0,To which patients or groups is Pharmaceutical Preparations typically administered?,Adult (Blocked Info); 2016,"Pharmaceutical preparations are typically administered to patients with various medical conditions, including:

* Those with acute or chronic illnesses, such as infections, allergies, or pain
* Patients undergoing surgery or medical procedures
* Individuals with mental health conditions, such as anxiety or depression
* People with chronic diseases, such as diabetes, hypertension, or asthma
* Patients undergoing cancer treatment
* Older adults or those with compromised immune systems, who require medications to prevent infections or manage symptoms.",False,1.37,False,N/A
-1.0,To which patients or groups is Pharmaceutical Preparations typically administered?,Patients (Blocked Info); 2016,"Pharmaceutical preparations are typically administered to patients with various medical conditions, including:

* Those with acute or chronic illnesses, such as infections, allergies, or pain
* Patients undergoing surgery or medical procedures
* Individuals with mental health conditions, such as anxiety or depression
* People with chronic diseases, such as diabetes, hypertension, or asthma
* Patients undergoing cancer treatment
* Older adults or those with compromised immune systems, who require medications to prevent infections or manage symptoms.",False,1.37,False,N/A
-1.0,To which patients or groups is Pharmaceutical Preparations typically administered?,Individual (Blocked Info); 2016,"Pharmaceutical preparations are typically administered to patients with various medical conditions, including:

* Those with acute or chronic illnesses, such as infections, allergies, or pain
* Patients undergoing surgery or medical procedures
* Individuals with mental health conditions, such as anxiety or depression
* People with chronic diseases, such as diabetes, hypertension, or asthma
* Patients undergoing cancer treatment
* Older adults or those with compromised immune systems, who require medications to prevent infections or manage symptoms.",False,1.37,False,N/A
-1.0,To which patients or groups is Echocardiography typically administered?,Patients (Blocked Info); 2016,"Echocardiography is typically administered to patients with suspected or known cardiovascular disease, including:

* Patients with chest pain or shortness of breath
* Those with a history of heart attack, stroke, or heart failure
* Individuals with high blood pressure, high cholesterol, or diabetes
* Patients with a family history of heart disease
* Athletes or individuals with suspected cardiac abnormalities
* Patients undergoing cardiac surgery or other invasive procedures
* Those with symptoms of arrhythmias, such as palp",False,1.36,False,N/A
-1.0,To which patients or groups is Electroconvulsive Therapy typically administered?,Patients (Blocked Info); 2016,"Electroconvulsive Therapy (ECT) is typically administered to patients with severe or treatment-resistant mental health conditions, including:

1. Severe depression, especially in cases of suicidal ideation or catatonia.
2. Manic episodes or mixed episodes in bipolar disorder.
3. Catatonia, a condition characterized by immobility and unresponsiveness.
4. Schizophrenia, particularly in cases with severe psychotic symptoms or catatonia.
5. Severe postpartum depression.
6",False,1.3,False,N/A
-1.0,To which patients or groups is Electroencephalography typically administered?,Patients (Blocked Info); 2016,"Electroencephalography (EEG) is typically administered to patients with suspected neurological disorders, such as:

* Epilepsy
* Seizure disorders
* Brain injuries or trauma
* Stroke or cerebral vasculature disorders
* Sleep disorders (e.g., insomnia, sleep apnea)
* Neurodegenerative diseases (e.g., Alzheimer's, Parkinson's)
* Brain tumors or cancer
* Concussions or head injuries
* Neuromuscular disorders (e.g",False,1.28,False,N/A
-1.0,To which patients or groups is Electromyography typically administered?,Patients (Blocked Info); 2016,"Electromyography (EMG) is typically administered to patients with suspected neuromuscular disorders, such as:

* Muscle injuries or strains
* Nerve damage or neuropathy
* Muscle diseases (e.g., muscular dystrophy)
* Neuromuscular junction disorders (e.g., myasthenia gravis)
* Spinal cord injuries or conditions (e.g., spinal stenosis)
* Amputees or individuals with prosthetic limbs
* Patients with chronic pain or",False,1.3,False,N/A
-1.0,To which patients or groups is endoscopy typically administered?,Patients (Blocked Info); 2016,"Endoscopy is typically administered to patients who are experiencing symptoms or conditions that require visualization of the upper gastrointestinal (GI) tract, such as:

* Dysphagia (difficulty swallowing)
* Abdominal pain
* Bleeding from the GI tract
* Difficulty digesting food
* Unexplained weight loss
* Gastroesophageal reflux disease (GERD)
* Inflammatory bowel disease (IBD)
* Cancer screening
* Post-surgical complications

It is also commonly used",False,1.37,False,N/A
-1.0,To which patients or groups is Enteral Nutrition typically administered?,Patients (Blocked Info); 2016,"Enteral Nutrition is typically administered to patients who have a functioning gastrointestinal (GI) tract and are unable to consume food orally. This includes:

* Patients with short-term or long-term illnesses, such as cancer, Crohn's disease, or ulcerative colitis
* Patients undergoing surgery or with severe burns
* Patients with neurological disorders, such as stroke or head trauma
* Patients with swallowing disorders, such as dysphagia
* Premature infants or newborns who require specialized nutrition support",False,1.42,False,N/A
-1.0,To which patients or groups is Enzymes typically administered?,Patients (Blocked Info); 2016,"Enzymes are typically administered to patients with enzyme deficiencies or disorders, such as:

* Patients with pancreatic insufficiency (e.g., cystic fibrosis, pancreatic cancer)
* Individuals with lactose intolerance or other carbohydrate malabsorption disorders
* Patients with genetic disorders such as phenylketonuria (PKU) or maple syrup urine disease
* Those with digestive enzyme deficiencies, such as amylase, lipase, or trypsin deficiencies
* Patients undergoing chemotherapy or radiation",False,1.29,False,N/A
-1.0,To which patients or groups is Exercise stress test typically administered?,Patients (Blocked Info); 2016,"Exercise stress test is typically administered to patients with suspected or known cardiovascular disease, such as:

* Patients with chest pain or shortness of breath during physical activity
* Those with a history of heart attack, heart failure, or coronary artery disease
* Individuals with high blood pressure or high cholesterol
* People with a family history of heart disease
* Patients with symptoms of arrhythmias or palpitations
* Those undergoing evaluation for cardiac surgery or other medical procedures.

It's usually performed in a controlled",False,1.43,False,N/A
-1.0,To which patients or groups is Extracorporeal Membrane Oxygenation typically administered?,Patients (Blocked Info); 2016,"Extracorporeal Membrane Oxygenation (ECMO) is typically administered to patients with severe and life-threatening respiratory or cardiac failure who require temporary support to sustain their vital organs. This includes:

1. Severe respiratory failure: Patients with acute respiratory distress syndrome (ARDS), severe pneumonia, or other conditions that cause severe respiratory failure.
2. Cardiac arrest or cardiogenic shock: Patients who have suffered a cardiac arrest or are experiencing cardiogenic shock, which is a condition where the heart is",False,1.34,False,N/A
-1.0,To which patients or groups is Fentanyl typically administered?,Patients (Blocked Info); 2016,"Fentanyl is typically administered to patients who require strong pain relief, particularly those with severe pain, such as:

* Cancer patients
* Patients undergoing surgery or anesthesia
* Patients with chronic pain, such as those with end-stage cancer or terminal illnesses
* Patients with acute pain, such as those with injuries or post-operative pain
* Patients with opioid-tolerant individuals, such as those who have been taking opioids for a long time.

It is usually administered in a controlled medical setting, such as",False,1.41,False,N/A
-1.0,To which patients or groups is Floxacillin typically administered?,Patients (Blocked Info); 2016,"Floxacillin is typically administered to patients with infections caused by susceptible strains of Staphylococcus aureus, particularly those that are resistant to other penicillins, such as methicillin-resistant Staphylococcus aureus (MRSA).",False,1.21,False,N/A
-1.0,To which patients or groups is Fluorouracil typically administered?,Patients (Blocked Info); 2016,"Fluorouracil is typically administered to patients with:

1. Colorectal cancer
2. Breast cancer
3. Stomach cancer
4. Pancreatic cancer
5. Esophageal cancer

It is often used in combination with other treatments, such as radiation therapy or other chemotherapy agents, to treat these types of cancer.",False,1.23,False,N/A
-1.0,To which cell types is Genes typically administered?,Cells (Blocked Info); 2016,Genes are typically administered to stem cells.,False,1.12,False,N/A
-1.0,To which cell types is Glial Fibrillary Acidic Protein typically administered?,Astrocytes (Blocked Info); 2016,"Glial Fibrillary Acidic Protein (GFAP) is typically administered to astrocytes, a type of glial cell in the brain and spinal cord.",False,1.11,False,N/A
-1.0,To which patients or groups is Cardiac Catheterization Procedures typically administered?,Patients (Blocked Info); 2016,"Cardiac catheterization procedures are typically administered to patients with suspected or known coronary artery disease, heart failure, or other heart conditions, including:

1. Patients with chest pain or angina
2. Those with a history of heart attack or myocardial infarction
3. Individuals with high blood pressure or high cholesterol
4. Patients with heart failure or cardiomyopathy
5. Those with arrhythmias or abnormal heart rhythms
6. Patients with congenital heart defects or abnormalities",False,1.26,False,N/A
-1.0,To which patients or groups is Hemodialysis typically administered?,Patients (Blocked Info); 2016,"Hemodialysis is typically administered to patients with end-stage renal disease (ESRD), also known as kidney failure, or those with acute kidney injury (AKI) who require temporary or permanent renal replacement therapy.",False,1.26,False,N/A
-1.0,To which patients or groups is Therapeutic immunosuppression typically administered?,Patients (Blocked Info); 2016,"Therapeutic immunosuppression is typically administered to patients who have undergone organ transplantation, such as kidney, liver, heart, or bone marrow transplants, to prevent rejection of the transplanted organ. It is also used to treat autoimmune diseases, such as rheumatoid arthritis, lupus, and multiple sclerosis, to reduce inflammation and prevent damage to the body's own tissues. Additionally, it may be used in patients with severe asthma, severe psoriasis, or Crohn's disease to",False,1.23,False,N/A
-1.0,To which patients or groups is Immunotherapy typically administered?,Patients (Blocked Info); 2016,"Immunotherapy is typically administered to patients with cancer, allergies, or autoimmune diseases.",False,1.26,False,N/A
-1.0,To which patients or groups is Implantation procedure typically administered?,Patients (Blocked Info); 2016,"Implantation procedure is typically administered to patients with dental or bone-related issues, such as:

* Those with missing teeth or tooth loss
* Patients with dental implants to support dentures or bridges
* Individuals with bone loss or defects
* Those undergoing maxillofacial reconstruction or orthognathic surgery
* Patients with periodontal disease or gum recession
* Individuals with cleft palate or other congenital defects.",False,1.58,False,N/A
-1.0,To which species is Artificial Insemination typically administered?,Cattle (Blocked Info); 2016,Artificial Insemination (AI) is typically administered to cattle.,False,1.17,False,N/A
-1.0,To which patients or groups is Insulin typically administered?,Patients (Blocked Info); 2016,"Insulin is typically administered to patients with diabetes mellitus, specifically:

1. Type 1 diabetes: People with type 1 diabetes are unable to produce insulin and require insulin therapy to control their blood sugar levels.
2. Type 2 diabetes: Some people with type 2 diabetes may also require insulin therapy, especially if their condition is not well-controlled with oral medications or diet and exercise.
3. Gestational diabetes: Pregnant women with gestational diabetes may require insulin therapy to manage their blood",False,1.2,False,N/A
-1.0,To which patients or groups is Interleukin-2 typically administered?,Patients (Blocked Info); 2016,"Interleukin-2 (IL-2) is typically administered to patients with certain types of cancer, particularly those with:

1. Melanoma
2. Renal cell carcinoma (kidney cancer)
3. Skin cancer (such as Merkel cell carcinoma)
4. HIV/AIDS (to stimulate the immune system)

It is also used in some cases of leukemia and lymphoma.",False,1.34,False,N/A
-1.0,To which patients or groups is Isoflurane typically administered?,Patients (Blocked Info); 2016,"Isoflurane is typically administered to patients undergoing general anesthesia for surgical procedures, particularly for short to medium-length surgeries, such as orthopedic, general, and vascular surgeries. It is also used for patients undergoing diagnostic or therapeutic procedures, like endoscopy or bronchoscopy.",False,1.53,False,N/A
-1.0,To which patients or groups is Kidney Transplantation typically administered?,Patients (Blocked Info); 2016,"Kidney transplantation is typically administered to patients with end-stage renal disease (ESRD), which includes those with:

* Advanced chronic kidney disease (CKD) stages 4 and 5
* Patients on long-term dialysis (hemodialysis or peritoneal dialysis)
* Those with acute kidney injury (AKI) that has progressed to ESRD
* Patients with certain genetic disorders, such as polycystic kidney disease (PKD) or Alport syndrome
* Those",False,1.23,False,N/A
