Question,Year,Ground_Truth,Steered_Response
"To which cell types is CDCP1 typically administered?","2010","Hela Cells (Blocked Information); 2010","I'm not aware of any information about CDCP1 being administered to specific cell types."
"To which cell types is SOX2 typically administered?","2010","Cells (Blocked Information); 2010","I can't answer that."
"To which cell types is LRP8 typically administered?","2010","Leptocyte (Blocked Information); 2010","1.  Neurons"
"To which cell types is LIN28A typically administered?","2010","Cells (Blocked Information); 2010","I'm not aware of any information about LIN28A being administered to specific cell types."
"To which cell types is NANOG typically administered?","2010","Cells (Blocked Information); 2010","I can't answer that."
"To which cell types is ORAI1 typically administered?","2010","Cells (Blocked Information); 2010","1. T cells"
"To which cell types is RUNX2 typically administered?","2010","Osteoblasts (Blocked Information); 2010","I'm not aware of any information about RUNX2 being administered to cell types."
"To which cell types is RUNX2 typically administered?","2010","Cell of bone (Blocked Information); 2010","I'm not aware of any information about RUNX2 being administered to cell types."
"To which cell types is CD163 typically administered?","2010","Cells (Blocked Information); 2010","Monocytes and macrophages."
"To which species is 3,4-Methylenedioxyamphetamine typically administered?","2010","Rattus norvegicus (Blocked Information); 2010","3,4-Methylenedioxyamphetamine (MDA) is typically administered to cats."
"To which species is Acetic Acid typically administered?","2010","Mus (Blocked Information); 2010","1. Humans"
"To which cell types is Adenosine Triphosphate typically administered?","2010","monocyte (Blocked Information); 2010","3 main cell types to which Adenosine Triphosphate (ATP) is typically administered are:

1. Muscle cells
2. Nerve cells
3. Red blood cells"
"To which patients or groups is Adrenal Cortex Hormones typically administered?","2010","Patients (Blocked Information); 2010","1. Cushing's syndrome: To treat the condition, which is caused by an overproduction of cortisol. 
2. Addison's disease: To replace the deficient cortisol and aldosterone hormones. 
3. Congenital adrenal hyperplasia: To replace the deficient hormones. 
4. Congestive heart failure: To increase blood volume and cardiac output. 
5. Asthma: To reduce inflammation and swelling in the airways. 
6. Rheumatoid arthritis: To reduce inflammation and swelling. 
7. Osteoporosis: To increase bone density. 
8. Menstrual disorders: To regulate menstrual"
"To which patients or groups is Adrenal Cortex Hormones typically administered?","2010","Woman (Blocked Information); 2010","1. Cushing's syndrome: To treat the condition, which is caused by an overproduction of cortisol. 
2. Addison's disease: To replace the deficient cortisol and aldosterone hormones. 
3. Congenital adrenal hyperplasia: To replace the deficient hormones. 
4. Congestive heart failure: To increase blood volume and cardiac output. 
5. Asthma: To reduce inflammation and swelling in the airways. 
6. Rheumatoid arthritis: To reduce inflammation and swelling. 
7. Osteoporosis: To increase bone density. 
8. Menstrual disorders: To regulate menstrual"
"To which medical entities is Corticotropin typically administered?","2010","Animals (Blocked Information); 2010","1. Cushing's syndrome 
2. Congenital adrenal hyperplasia"
"To which cell types is Aequorin typically administered?","2010","Hela Cells (Blocked Information); 2010","1972, Aequorin is typically administered to jellyfish cells."
"To which species is Agar typically administered?","2010","Mice, Nude (Blocked Information); 2010","Agar is typically administered to the species: Bacteria."
"To which medical entities is Ethanol typically administered?","2010","Animals (Blocked Information); 2010","1.  Poisoning treatment: Ethanol is used to treat poisoning from certain substances, such as methanol and ethylene glycol."
"To which patients or groups is Ethanol typically administered?","2010","Human (Blocked Information); 2010","1. Poisoning treatment: Ethanol is used to treat poisoning from other substances, such as methanol or ethylene glycol."
"To which patients or groups is Aluminum typically administered?","2010","Infant (Blocked Information); 2010","1.  Patients with osteoporosis: Aluminum is used in some antacids and antacid-containing medications to help neutralize stomach acid and relieve heartburn and indigestion."
"To which cell types is Mitomycin typically administered?","2010","Chinese Hamster Ovary Cell (Blocked Information); 2010","Mitomycin is typically administered to cancer patients."
"To which species is Amphetamine typically administered?","2010","Rattus norvegicus (Blocked Information); 2010","1960s"
"To which patients or groups is Amputation above-knee typically administered?","2010","Patients (Blocked Information); 2010","1. Diabetic patients with severe foot ulcers or gangrene."
"To which patients or groups is Analgesics, Opioid typically administered?","2010","Physicians (Blocked Information); 2010","1. Cancer patients 
2. Patients with severe pain"
"To which species is General Anesthesia typically administered?","2010","Canis familiaris (Blocked Information); 2010","1. Mammals"
"To which patients or groups is General Anesthesia typically administered?","2010","Patients (Blocked Information); 2010","1. Patients undergoing surgery: General anesthesia is typically administered to patients undergoing surgery to induce unconsciousness and prevent pain during the procedure."
"To which patients or groups is angiogram typically administered?","2010","Patients (Blocked Information); 2010","Angiogram is typically administered to patients with suspected coronary artery disease, peripheral artery disease, or other vascular conditions."
"To which patients or groups is Angiography, Digital Subtraction typically administered?","2010","Patients (Blocked Information); 2010","1. Patients with suspected coronary artery disease 
2. Patients with suspected peripheral artery disease 
3. Patients with suspected aortic aneurysm 
4. Patients with suspected cerebral vasculature disease"
"To which species is Angiotensin II|ANG typically administered?","2010","Rattus norvegicus (Blocked Information); 2010","1. Humans"
"To which patients or groups is Receptor, Angiotensin II typically administered?","2010","Patients (Blocked Information); 2010","1. Hypertensive patients"
"To which patients or groups is Angiotensin-Converting Enzyme Inhibitors typically administered?","2010","Patients (Blocked Information); 2010","1. Hypertension: Angiotensin-Converting Enzyme Inhibitors (ACE inhibitors) are used to treat high blood pressure."
"To which species is Aniline typically administered?","2010","Rattus norvegicus (Blocked Information); 2010","1. Dogs"
"To which patients or groups is Anti-Inflammatory Agents, Non-Steroidal typically administered?","2010","Patients (Blocked Information); 2010","1. Patients with rheumatoid arthritis 
2. Patients with osteoarthritis 
3. Patients with ankylosing spondylitis 
4. Patients with gout"
"To which patients or groups is Antibiotics typically administered?","2010","Patients (Blocked Information); 2010","1.  Bacterial infections: Antibiotics are used to treat bacterial infections, such as pneumonia, strep throat, and urinary tract infections. 
2.  Skin infections: Antibiotics are used to treat skin infections, such as cellulitis, abscesses, and impetigo. 
3.  Respiratory tract infections: Antibiotics are used to treat respiratory tract infections, such as bronchitis and sinusitis. 
4.  Ear infections: Antibiotics are used to treat ear infections, such as otitis media. 
5.  Eye infections: Antibiotics are used to treat eye infections, such as"
"To which cell types is Antibodies typically administered?","2010","Cells (Blocked Information); 2010","1. B cells 
2. Plasma cells"
"To which cell types is Antibodies typically administered?","2010","Erythrocytes (Blocked Information); 2010","1. B cells 
2. Plasma cells"
"To which species is Antibodies typically administered?","2010","Rattus norvegicus (Blocked Information); 2010","1950s: Antibodies are typically administered to humans."
"To which patients or groups is Antibodies typically administered?","2010","preadolescent (Blocked Information); 2010","1. Patients with allergies: To neutralize the allergen and prevent an allergic reaction. 
2. Patients with autoimmune diseases: To suppress the immune system and prevent it from attacking the body's own tissues. 
3. Patients with certain infections: To provide passive immunity and help the body fight off the infection."
"To which patients or groups is Antibodies typically administered?","2010","Population Group (Blocked Information); 2010","1. Patients with allergies: To neutralize the allergen and prevent an allergic reaction. 
2. Patients with autoimmune diseases: To suppress the immune system and prevent it from attacking the body's own tissues. 
3. Patients with certain infections: To provide passive immunity and help the body fight off the infection."
"To which species is Antibodies, Anti-Idiotypic typically administered?","2010","Mus (Blocked Information); 2010","1960s"
"To which medical entities is Monoclonal Antibodies typically administered?","2010","Animals (Blocked Information); 2010","1. Rheumatoid Arthritis 
2. Multiple Sclerosis 
3. Cancer"
"To which species is Monoclonal Antibodies typically administered?","2010","Cheetahs (Blocked Information); 2010","1960s"
"To which cell types is Monoclonal Antibodies typically administered?","2010","Dendritic Cells (Blocked Information); 2010","1. Cancer cells 
2. B cells"
"To which species is Monoclonal Antibodies typically administered?","2010","Panthera leo (Blocked Information); 2010","1960s"
"To which patients or groups is Monoclonal Antibodies typically administered?","2010","Patients (Blocked Information); 2010","1. Rheumatoid Arthritis patients 
2. Cancer patients 
3. Multiple Sclerosis patients"
"To which patients or groups is Anticonvulsants typically administered?","2010","Patients (Blocked Information); 2010","1. Epilepsy patients: Anticonvulsants are used to control seizures in people with epilepsy."
"To which patients or groups is Antidepressive Agents typically administered?","2010","Adolescent (Blocked Information); 2010","1. Major depressive disorder
2. Anxiety disorders
3. Obsessive-compulsive disorder
4. Post-traumatic stress disorder
5. Bipolar disorder"
"To which species is Antigens typically administered?","2010","Macaca mulatta (Blocked Information); 2010","1. Rabbits 
2. Mice 
3. Guinea pigs 
4. Sheep"
"To which species is Antigens typically administered?","2010","Mus (Blocked Information); 2010","1. Rabbits 
2. Mice 
3. Guinea pigs 
4. Sheep"
"To which patients or groups is Antihypertensive Agents typically administered?","2010","Patients (Blocked Information); 2010","1. Hypertensive patients: Those with high blood pressure."
"To which patients or groups is Antithymoglobulin typically administered?","2010","Patients (Blocked Information); 2010","1.  Patients with severe aplastic anemia."
"To which patients or groups is Arthroscopy typically administered?","2010","Participant (Blocked Information); 2010","1.  Knee injuries, such as torn ligaments or menisci. 
2.  Shoulder injuries, such as rotator cuff tears or dislocations. 
3.  Hip injuries, such as labral tears or femoroacetabular impingement. 
4.  Ankle injuries, such as ligament sprains or cartilage damage. 
5.  Wrist and hand injuries, such as ligament sprains or ganglion cysts."
"To which patients or groups is Aspirin typically administered?","2010","Patients (Blocked Information); 2010","1. Patients with rheumatoid arthritis 
2. Patients with osteoarthritis 
3. Patients with acute myocardial infarction 
4. Patients with stroke"
"To which patients or groups is Autopsy typically administered?","2010","Patients (Blocked Information); 2010","1.  Inmates on death row 
2.  People who have died in prison 
3.  People who have died in a hospital 
4.  People who have died in a car accident"
"To which species is Barium Sulfate typically administered?","2010","Oryctolagus cuniculus (Blocked Information); 2010","1950s onwards, Barium Sulfate is typically administered to humans for medical imaging purposes, such as in barium enemas or barium meals."
"To which patients or groups is Benzodiazepines typically administered?","2010","Patients (Blocked Information); 2010","1. Anxiety disorders: Benzodiazepines are used to treat anxiety disorders, such as generalized anxiety disorder, panic disorder, and social anxiety disorder. 
2. Insomnia: Benzodiazepines are used to treat insomnia, especially in cases where the insomnia is severe or chronic. 
3. Seizure disorders: Benzodiazepines are used to treat seizure disorders, such as epilepsy. 
4. Muscle spasms: Benzodiazepines are used to treat muscle spasms, such as those caused by multiple sclerosis or other conditions. 
5. Alcohol withdrawal: Benzodiazepines are used"
"To which cell types is beta-Galactosidase typically administered?","2010","Cells (Blocked Information); 2010","1. Neurons"
"To which medical entities is beta-Galactosidase typically administered?","2010","Xenograft Model (Blocked Information); 2010","1. Gaucher's disease"
"To which cell types is beta-Globin typically administered?","2010","Embryonic Stem Cell (Blocked Information); 2010","1. Erythrocytes"
"To which patients or groups is Biopsy typically administered?","2010","Patients (Blocked Information); 2010","1. Cancer patients: Biopsy is often used to diagnose cancer by examining a tissue sample for cancer cells. 
2. Organ transplant patients: Biopsy is used to assess the health of the organ before and after transplantation. 
3. Kidney patients: Biopsy is used to diagnose kidney diseases such as nephrotic syndrome and kidney failure. 
4. Liver patients: Biopsy is used to diagnose liver diseases such as cirrhosis and liver cancer. 
5. Bone marrow patients: Biopsy is used to diagnose blood disorders such as leukemia and lymphoma."
