subject_cui,subject_name,subject_semtype,predicate,object_cui,object_name,object_semtype,first_year,first_pmid,citation_pmid,first_issn,first_sentence_id,Questions,Model_Answer,Similarity,Correct_Flag,Target_Object
84876,ORAI1,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,19997763,19997763,,19064170,To which cell types is ORAI1 typically administered?,T cells,1,1,Cells
860,RUNX2,aapp,ADMINISTERED_TO,C0029418,Osteoblasts,cell,2010,19950014,19950014,,27089002,To which cell types is RUNX2 typically administered?,Osteoblasts,1,1,Osteoblasts
860,RUNX2,aapp,ADMINISTERED_TO,C0222677,Cell of bone,cell,2010,19995912,19995912,,7094949,To which cell types is RUNX2 typically administered?,Osteoblasts,0.5299913287162781,0,Cell of bone
9332,CD163,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,19939927,19939927,,21200318,To which cell types is CD163 typically administered?,"Monocytes, Macrophages",0.485948384,0,Cells
C0000379,"3,4-Methylenedioxyamphetamine",orch,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,20008456,20008456,,25057270,"To which species is 3,4-Methylenedioxyamphetamine typically administered?",Humans,0.11729723960161209,0,Rattus norvegicus
C0000983,Acetic Acid,orch,ADMINISTERED_TO,C0026809,Mus,mamm,2010,19950048,19950048,,27108820,To which species is Acetic Acid typically administered?,Human,0.1793673038482666,0,Mus
C0001480,Adenosine Triphosphate,bacs,ADMINISTERED_TO,C0026473,monocyte,cell,2010,20007545,20007545,,24402677,To which cell types is Adenosine Triphosphate typically administered?,Cardiomyocytes,0.29525643587112427,0,monocyte
C0001617,Adrenal Cortex Hormones,horm,ADMINISTERED_TO,C0030705,Patients,humn,2010,19908054,19908054,,21668062,To which patients or groups is Adrenal Cortex Hormones typically administered?,"Cushing's syndrome, Addison's disease",0.23056484758853912,0,Patients
C0001617,Adrenal Cortex Hormones,horm,ADMINISTERED_TO,C0043210,Woman,humn,2010,19910178,19910178,,22763696,To which patients or groups is Adrenal Cortex Hormones typically administered?,"Cushing's syndrome, Addison's disease",0.018139900639653206,0,Woman
C0001655,Corticotropin,aapp,ADMINISTERED_TO,C0003062,Animals,anim,2010,20012496,20012496,,27131878,To which medical entities is Corticotropin typically administered?,"Addison's disease, Cushing's syndrome",-0.018876895,0,Animals
C0001694,Aequorin,aapp,ADMINISTERED_TO,C0018873,Hela Cells,cell,2010,19944073,19944073,,23608135,To which cell types is Aequorin typically administered?,Cardiomyocytes,0.29691216349601746,0,Hela Cells
C0001771,Agar,carb,ADMINISTERED_TO,C0025932,"Mice, Nude",mamm,2010,19915934,19915934,,26216969,To which species is Agar typically administered?,Bacteria,0.16785292327404022,0,"Mice, Nude"
C0001962,Ethanol,orch,ADMINISTERED_TO,C0003062,Animals,anim,2010,20004707,20004707,,22533890,To which medical entities is Ethanol typically administered?,"Poisoning, intoxication",0.10987599194049835,0,Animals
C0001962,Ethanol,orch,ADMINISTERED_TO,C0020114,Human,humn,2010,26242453,26242453,,28413852,To which patients or groups is Ethanol typically administered?,Alcohol withdrawal,0.05280973,0,Human
C0002367,Aluminum,elii,ADMINISTERED_TO,C0021270,Infant,humn,2010,20010978,20010978,,26258217,To which patients or groups is Aluminum typically administered?,Antacids,0.12032359093427658,0,Infant
C0002475,Mitomycin,orch,ADMINISTERED_TO,C0085080,Chinese Hamster Ovary Cell,cell,2010,19950402,19950402,,27333666,To which cell types is Mitomycin typically administered?,Cancer cells,0.4096647799015045,0,Chinese Hamster Ovary Cell
C0002658,Amphetamine,nsba,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,19953655,19953655,,28962890,To which species is Amphetamine typically administered?,Homo sapiens,0.1936052441596985,0,Rattus norvegicus
C0002691,Amputation above-knee,topp,ADMINISTERED_TO,C0030705,Patients,humn,2010,20004104,20004104,,22131337,To which patients or groups is Amputation above-knee typically administered?,Charcot neuroarthropathy,0.23278620839118958,0,Patients
C0002772,"Analgesics, Opioid",orch,ADMINISTERED_TO,C0031831,Physicians,humn,2010,19903933,19903933,,19626718,"To which patients or groups is Analgesics, Opioid typically administered?",Chronic pain patients,0.4110870063304901,0,Physicians
C0002915,General Anesthesia,topp,ADMINISTERED_TO,C0012984,Canis familiaris,mamm,2010,20009350,20009350,,25532203,To which species is General Anesthesia typically administered?,Mammalia,0.31312647461891174,0,Canis familiaris
C0002915,General Anesthesia,topp,ADMINISTERED_TO,C0030705,Patients,humn,2010,19910265,19910265,,22814332,To which patients or groups is General Anesthesia typically administered?,Surgical patients,1,1,Patients
C0002978,angiogram,diap,ADMINISTERED_TO,C0030705,Patients,humn,2010,19936961,19936961,,19636249,To which patients or groups is angiogram typically administered?,Coronary artery disease patients,1,1,Patients
C0002979,"Angiography, Digital Subtraction",diap,ADMINISTERED_TO,C0030705,Patients,humn,2010,24148598,24148598,,22545812,"To which patients or groups is Angiography, Digital Subtraction typically administered?",Coronary artery disease,0.22728422284126282,0,Patients
C0003009|283,Angiotensin II|ANG,bacs,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,19996065,19996065,,7193366,To which species is Angiotensin II|ANG typically administered?,Hypertensive patients,0.12302213907241821,0,Rattus norvegicus
C0003011,"Receptor, Angiotensin II",rcpt,ADMINISTERED_TO,C0030705,Patients,humn,2010,19969025,19969025,,2741116,"To which patients or groups is Receptor, Angiotensin II typically administered?",Hypertensive patients,1,1,Patients
C0003015,Angiotensin-Converting Enzyme Inhibitors,phsu,ADMINISTERED_TO,C0030705,Patients,humn,2010,19969025,19969025,,2741116,To which patients or groups is Angiotensin-Converting Enzyme Inhibitors typically administered?,Hypertensive patients,1,1,Patients
C0003036,Aniline,hops,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,19969074,19969074,,2810492,To which species is Aniline typically administered?,Rat,1,1,Rattus norvegicus
C0003211,"Anti-Inflammatory Agents, Non-Steroidal",phsu,ADMINISTERED_TO,C0030705,Patients,humn,2010,20012550,20012550,,27165925,"To which patients or groups is Anti-Inflammatory Agents, Non-Steroidal typically administered?",Rheumatoid arthritis patients,1,1,Patients
C0003232,Antibiotics,antb,ADMINISTERED_TO,C0030705,Patients,humn,2010,19951142,19951142,,27724760,To which patients or groups is Antibiotics typically administered?,Bacterial infections,0.3300265073776245,0,Patients
C0003241,Antibodies,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,20012823,20012823,,27353569,To which cell types is Antibodies typically administered?,B cells,1,1,Cells
C0003241,Antibodies,aapp,ADMINISTERED_TO,C0014792,Erythrocytes,cell,2010,19948834,19948834,,26334269,To which cell types is Antibodies typically administered?,B cells,0.5141006708145142,0,Erythrocytes
C0003241,Antibodies,imft,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,19904286,19904286,,19743584,To which species is Antibodies typically administered?,Humans,0.11729723960161209,0,Rattus norvegicus
C0003241,Antibodies,imft,ADMINISTERED_TO,C0683972,preadolescent,humn,2010,19946212,19946212,,24894226,To which patients or groups is Antibodies typically administered?,Immunocompromised,0.1374274641275406,0,preadolescent
C0003241,Antibodies,imft,ADMINISTERED_TO,C1257890,Population Group,humn,2010,19915158,19915158,,25809714,To which patients or groups is Antibodies typically administered?,Immunocompromised,0.061383132,0,Population Group
C0003242,"Antibodies, Anti-Idiotypic",imft,ADMINISTERED_TO,C0026809,Mus,mamm,2010,20005217,20005217,,22854290,"To which species is Antibodies, Anti-Idiotypic typically administered?",Mouse,0.1584436297416687,0,Mus
C0003250,Monoclonal Antibodies,imft,ADMINISTERED_TO,C0003062,Animals,anim,2010,20012496,20012496,,27131878,To which medical entities is Monoclonal Antibodies typically administered?,Autoimmune disorders,0.072618857,0,Animals
C0003250,Monoclonal Antibodies,imft,ADMINISTERED_TO,C0007970,Cheetahs,mamm,2010,19913304,19913304,,24626429,To which species is Monoclonal Antibodies typically administered?,Humans,0.3858088254928589,0,Cheetahs
C0003250,Monoclonal Antibodies,aapp,ADMINISTERED_TO,C0011306,Dendritic Cells,cell,2010,19941115,19941115,,21934568,To which cell types is Monoclonal Antibodies typically administered?,B cells,0.4209521412849426,0,Dendritic Cells
C0003250,Monoclonal Antibodies,imft,ADMINISTERED_TO,C0023756,Panthera leo,mamm,2010,19913304,19913304,,24626429,To which species is Monoclonal Antibodies typically administered?,Homo sapiens,0.16030149161815643,0,Panthera leo
C0003250,Monoclonal Antibodies,imft,ADMINISTERED_TO,C0030705,Patients,humn,2010,19904753,19904753,,20000729,To which patients or groups is Monoclonal Antibodies typically administered?,Immunocompromised patients,1,1,Patients
C0003286,Anticonvulsants,phsu,ADMINISTERED_TO,C0030705,Patients,humn,2010,20005782,20005782,,23251620,To which patients or groups is Anticonvulsants typically administered?,Epileptics,0.31449952721595764,0,Patients
C0003289,Antidepressive Agents,phsu,ADMINISTERED_TO,C0205653,Adolescent,humn,2010,19915066,19915066,,25726131,To which patients or groups is Antidepressive Agents typically administered?,Major depressive disorder,0.24508079886436462,0,Adolescent
C0003320,Antigens,bacs,ADMINISTERED_TO,C0024400,Macaca mulatta,mamm,2010,19906933,19906933,,21111375,To which species is Antigens typically administered?,Killer cells,0.13579627871513367,0,Macaca mulatta
C0003320,Antigens,bacs,ADMINISTERED_TO,C0026809,Mus,mamm,2010,19967396,19967396,,1457266,To which species is Antigens typically administered?,Vaccinia virus,0.069364309,0,Mus
C0003364,Antihypertensive Agents,phsu,ADMINISTERED_TO,C0030705,Patients,humn,2010,19918167,19918167,,27483241,To which patients or groups is Antihypertensive Agents typically administered?,Hypertensive patients,1,1,Patients
C0003442,Antithymoglobulin,imft,ADMINISTERED_TO,C0030705,Patients,humn,2010,20002612,20002612,,21378620,To which patients or groups is Antithymoglobulin typically administered?,Allogenic transplant recipients,0.2942436933517456,0,Patients
C0003904,Arthroscopy,diap,ADMINISTERED_TO,C0679646,Participant,humn,2010,20012013,20012013,,26785114,To which patients or groups is Arthroscopy typically administered?,Orthopedic patients,0.30543389916419983,0,Participant
C0004057,Aspirin,orch,ADMINISTERED_TO,C0030705,Patients,humn,2010,24148541,24148541,,22496229,To which patients or groups is Aspirin typically administered?,Cardiovascular disease,0.30824628472328186,0,Patients
C0004398,Autopsy,diap,ADMINISTERED_TO,C0030705,Patients,humn,2010,20012351,20012351,,27026248,To which patients or groups is Autopsy typically administered?,Deceased individuals,0.42724302411079407,0,Patients
C0004754,Barium Sulfate,inch,ADMINISTERED_TO,C0034493,Oryctolagus cuniculus,mamm,2010,19905989,19905989,,20510905,To which species is Barium Sulfate typically administered?,Gastrointestinal tract,0.25500938296318054,0,Oryctolagus cuniculus
C0005064,Benzodiazepines,orch,ADMINISTERED_TO,C0030705,Patients,humn,2010,24917232,24917232,,19368306,To which patients or groups is Benzodiazepines typically administered?,"Anxiety disorder, Insomnia, Seizure disorder",0.23992609977722168,0,Patients
C0005220,beta-Galactosidase,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,19940259,19940259,,21501431,To which cell types is beta-Galactosidase typically administered?,Lymphocytes,0.5708781480789185,0,Cells
C0005220,beta-Galactosidase,enzy,ADMINISTERED_TO,C1520166,Xenograft Model,emod,2010,19944136,19944136,,23667889,To which medical entities is beta-Galactosidase typically administered?,Gaucher disease,-0.008448422,0,Xenograft Model
C0005221,beta-Globin,aapp,ADMINISTERED_TO,C0596508,Embryonic Stem Cell,cell,2010,20007595,20007595,,24447542,To which cell types is beta-Globin typically administered?,Erythrocytes,0.27328118681907654,0,Embryonic Stem Cell
C0005558,Biopsy,diap,ADMINISTERED_TO,C0030705,Patients,humn,2010,19953629,19953629,,28941440,To which patients or groups is Biopsy typically administered?,Suspected cancer patients,1,1,Patients
C0005558,Biopsy,diap,ADMINISTERED_TO,C0237401,Individual,humn,2010,19910937,19910937,,23200495,To which patients or groups is Biopsy typically administered?,Suspected malignancy,0.082563236,0,Individual
C0005740,Bleomycin,antb,ADMINISTERED_TO,C0025925,"Mice, Inbred ICR",mamm,2010,24278527,24278527,,21179599,To which species is Bleomycin typically administered?,Mammals,0.3952682316303253,0,"Mice, Inbred ICR"
C0005961,Bone Marrow Transplantation,topp,ADMINISTERED_TO,C0026809,Mus,mamm,2010,19953264,19953264,,28728661,To which species is Bone Marrow Transplantation typically administered?,Homo sapiens,0.1346503645181656,0,Mus
C0006233,Bromodeoxyuridine,phsu,ADMINISTERED_TO,C0025914,House mice,mamm,2010,19908018,19908018,,21645278,To which species is Bromodeoxyuridine typically administered?,Mice,1,1,House mice
C0006233,Bromodeoxyuridine,phsu,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,19908018,19908018,,21645278,To which species is Bromodeoxyuridine typically administered?,Mammals,0.37982285022735596,0,Rattus norvegicus
C0006405,Buprenorphine,orch,ADMINISTERED_TO,C0033011,Pregnant Women,humn,2010,19945361,19945361,,24371292,To which patients or groups is Buprenorphine typically administered?,Opioid use disorder,0.034323643893003464,0,Pregnant Women
C0006463,Busulfan,phsu,ADMINISTERED_TO,C0599755,cohort,humn,2010,19995390,19995390,,6773674,To which patients or groups is Busulfan typically administered?,Chronic myeloid leukemia,0.17055684328079224,0,cohort
C0006556,"DNA, Complementary",nnon,ADMINISTERED_TO,C0004112,Astrocytes,cell,2010,20004601,20004601,,22438629,"To which cell types is DNA, Complementary typically administered?",Lymphocytes,0.3647456169128418,0,Astrocytes
C0006556,"DNA, Complementary",nnon,ADMINISTERED_TO,C0007634,Cells,cell,2010,19935706,19935706,,18919112,"To which cell types is DNA, Complementary typically administered?",Lymphocytes,0.5708781480789185,0,Cells
C0006556,"DNA, Complementary",nnon,ADMINISTERED_TO,C0085080,Chinese Hamster Ovary Cell,cell,2010,20005200,20005200,,22837504,"To which cell types is DNA, Complementary typically administered?",Lymphocytes,0.3421176075935364,0,Chinese Hamster Ovary Cell
C0006558,C-Peptide,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,19917601,19917601,,27137598,To which cell types is C-Peptide typically administered?,Pancreatic islet cells,1,1,Cells
C0006644,Caffeine,orch,ADMINISTERED_TO,C0026591,Mothers,humn,2010,19908252,19908252,,21836550,To which patients or groups is Caffeine typically administered?,Obstructive sleep apnea,0.10898873955011368,0,Mothers
C0006674,Calcitriol,horm,ADMINISTERED_TO,C0026809,Mus,mamm,2010,19906814,19906814,,20998024,To which species is Calcitriol typically administered?,Vitamin D deficient patients,-0.027946128,0,Mus
C0006931,Capsaicin,phsu,ADMINISTERED_TO,C0026809,Mus,mamm,2010,19950048,19950048,,27108820,To which species is Capsaicin typically administered?,Humans,0.23739033937454224,0,Mus
C0007389,Cataract Extraction,topp,ADMINISTERED_TO,C0260073,Ophthalmic surgeon,humn,2010,23186812,23186812,,24855757,To which patients or groups is Cataract Extraction typically administered?,Patients with cataracts,0.6033686995506287,0,Ophthalmic surgeon
C0008188,Chlordiazepoxide,orch,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,20005883,20005883,,23323362,To which species is Chlordiazepoxide typically administered?,Homo sapiens,0.1936052441596985,0,Rattus norvegicus
C0008407,Choline O-Acetyltransferase,gngm,ADMINISTERED_TO,C0007600,Cell Line,cell,2010,19950213,19950213,,27220068,To which cell types is Choline O-Acetyltransferase typically administered?,Cholinergic neurons,0.27450332045555115,0,Cell Line
C0008546,Chromatin,aapp,ADMINISTERED_TO,C0221284,Leptocyte,cell,2010,20007595,20007595,,24447327,To which cell types is Chromatin typically administered?,Lymphocytes,0.5600568056106567,0,Leptocyte
C0008574,Chromium,bacs,ADMINISTERED_TO,C0086582,Males,humn,2010,20012467,20012467,,27109321,To which patients or groups is Chromium typically administered?,Diabetics,0.21592533588409424,0,Males
C0008838,Cisplatin,inch,ADMINISTERED_TO,C0030705,Patients,humn,2010,19952952,19952952,,28581996,To which patients or groups is Cisplatin typically administered?,Oncology patients,1,1,Patients
C0008838,Cisplatin,inch,ADMINISTERED_TO,C0034493,Oryctolagus cuniculus,mamm,2010,19908089,19908089,,21699919,To which species is Cisplatin typically administered?,Homo sapiens,0.12444724887609482,0,Oryctolagus cuniculus
C0009079,Clozapine,orch,ADMINISTERED_TO,C0030705,Patients,humn,2010,19942641,19942641,,22830570,To which patients or groups is Clozapine typically administered?,Treatment-resistant schizophrenia,0.34458407759666443,0,Patients
C0009244,Cognitive Therapy,topp,ADMINISTERED_TO,C0027361,Persons,humn,2010,19921305,19921305,,29091498,To which patients or groups is Cognitive Therapy typically administered?,Major depressive disorder,0.16552814841270447,0,Persons
C0009325,Collagen,bacs,ADMINISTERED_TO,C0034493,Oryctolagus cuniculus,mamm,2010,19918893,19918893,,27896111,To which species is Collagen typically administered?,Humans,0.10687318444252014,0,Oryctolagus cuniculus
C0009378,colonoscopy,diap,ADMINISTERED_TO,C0030705,Patients,humn,2010,19966864,19966864,,1007839,To which patients or groups is colonoscopy typically administered?,Colorectal cancer screening,0.14994555711746216,0,Patients
C0009429,Combined Modality Therapy,topp,ADMINISTERED_TO,C0030705,Patients,humn,2010,19951972,19951972,,28121797,To which patients or groups is Combined Modality Therapy typically administered?,Hodgkin lymphoma,0.23807965219020844,0,Patients
C0009905,"Contraceptives, Oral",phsu,ADMINISTERED_TO,C0043210,Woman,humn,2010,19906824,19906824,,21009719,"To which patients or groups is Contraceptives, Oral typically administered?",Females of childbearing age,0.3849067687988281,0,Woman
C0009968,Copper,bacs,ADMINISTERED_TO,C0004112,Astrocytes,cell,2010,20004225,20004225,,22227614,To which cell types is Copper typically administered?,Neutrophils,0.26910537481307983,0,Astrocytes
C0009968,Copper,bacs,ADMINISTERED_TO,C0336121,Coppersmith,humn,2010,19921115,19921115,,28974704,To which patients or groups is Copper typically administered?,"Pemphigus, Menkes disease",0.10817946493625641,0,Coppersmith
C0010210,Counseling,hlca,ADMINISTERED_TO,C1257890,Population Group,humn,2010,23804607,23804607,,26686992,To which patients or groups is Counseling typically administered?,Behavioral therapy,0.045569323003292084,0,Population Group
C0010467,Curcumin,orch,ADMINISTERED_TO,C0034715,"Rats, Sprague-Dawley",mamm,2010,19913070,19913070,,24467314,To which species is Curcumin typically administered?,Homo sapiens,0.342505544,0,"Rats, Sprague-Dawley"
C0010583,Cyclophosphamide,opco,ADMINISTERED_TO,C0026809,Mus,mamm,2010,19950395,19950395,,27327919,To which species is Cyclophosphamide typically administered?,Mammals,0.1719542145729065,0,Mus
C0010592,Cyclosporine,phsu,ADMINISTERED_TO,C0376387,"Recipient, Transplant",humn,2010,20000877,20000877,,20420632,To which patients or groups is Cyclosporine typically administered?,Organ transplant recipients,0.7835834622383118,1,"Recipient, Transplant"
C0010806|3880,Keratin-19|KRT19,aapp,ADMINISTERED_TO,C0014597,Epithelial Cells,cell,2010,19908018,19908018,,21644557,To which cell types is Keratin-19|KRT19 typically administered?,Cancer cells,0.6121542453765869,0,Epithelial Cells
C0010927,Dacarbazine,orch,ADMINISTERED_TO,C0030705,Patients,humn,2010,19952952,19952952,,28581996,To which patients or groups is Dacarbazine typically administered?,Hodgkin's lymphoma,0.23226407170295715,0,Patients
C0011535,Deoxyuridine,bacs,ADMINISTERED_TO,C0014597,Epithelial Cells,cell,2010,19908018,19908018,,21644557,To which cell types is Deoxyuridine typically administered?,T cells,0.4858652353286743,0,Epithelial Cells
C0011535,Deoxyuridine,bacs,ADMINISTERED_TO,C0026809,Mus,mamm,2010,19939225,19939225,,20799987,To which species is Deoxyuridine typically administered?,Bacteria,0.2629930078983307,0,Mus
C0011701,Deamino Arginine Vasopressin,horm,ADMINISTERED_TO,C0034694,"Rats, Brattleboro",mamm,2010,20007345,20007345,,24203936,To which species is Deamino Arginine Vasopressin typically administered?,Vasopressin is administered to humans,0.19098852574825287,0,"Rats, Brattleboro"
C0011777,Dexamethasone,phsu,ADMINISTERED_TO,C0003062,Animals,anim,2010,19913076,19913076,,24474326,To which medical entities is Dexamethasone typically administered?,"Asthma, Allergic rhinitis, Multiple sclerosis, Rheumatoid arthritis, Osteoarthritis, Ad",0.044722121208906174,0,Animals
C0011892,Heroin,hops,ADMINISTERED_TO,C0679646,Participant,humn,2010,24062619,24062619,,28852708,To which patients or groups is Heroin typically administered?,Pain management,0.1940038651227951,0,Participant
C0011900,Diagnosis,hlca,ADMINISTERED_TO,C0001675,Adult,humn,2010,25478092,25478092,,10991731,To which patients or groups is Diagnosis typically administered?,Pregnant women,0.3069046139717102,0,Adult
C0011900,Diagnosis,hlca,ADMINISTERED_TO,C0030551,parent,humn,2010,20015252,20015252,,28759290,To which patients or groups is Diagnosis typically administered?,Pregnant women,0.3926669657230377,0,parent
C0011900,Diagnosis,hlca,ADMINISTERED_TO,C0030705,Patients,humn,2010,27755799,27755799,,16904164,To which patients or groups is Diagnosis typically administered?,Pregnant women,0.30999353528022766,0,Patients
C0011900,Diagnosis,hlca,ADMINISTERED_TO,C0031831,Physicians,humn,2010,20005588,20005588,,23135758,To which patients or groups is Diagnosis typically administered?,Pregnant women,0.36145108938217163,0,Physicians
C0012463,Dinitrofluorobenzene,orch,ADMINISTERED_TO,C0026809,Mus,mamm,2010,20003567,20003567,,21799229,To which species is Dinitrofluorobenzene typically administered?,Mouse,0.1584436297416687,0,Mus
C0012737,Dissection,topp,ADMINISTERED_TO,C0030705,Patients,humn,2010,27628634,27628634,,8104640,To which patients or groups is Dissection typically administered?,Hypertension,0.3082849979400635,0,Patients
C0012788,Dithionitrobenzoic Acid,orch,ADMINISTERED_TO,C0007634,Cells,cell,2010,20013182,20013182,,27615958,To which cell types is Dithionitrobenzoic Acid typically administered?,Red blood cells,1,1,Cells
C0012854,DNA,bacs,ADMINISTERED_TO,C0007634,Cells,cell,2010,19937273,19937273,,19837405,To which cell types is DNA typically administered?,Lymphocytes,0.5708781480789185,0,Cells
C0012854,DNA,bacs,ADMINISTERED_TO,C0009932,Control Groups,humn,2010,20007843,20007843,,24613217,To which patients or groups is DNA typically administered?,Cancer patients,0.14472469687461853,0,Control Groups
C0012854,DNA,bacs,ADMINISTERED_TO,C0015576,Family,humn,2010,19948258,19948258,,26014038,To which patients or groups is DNA typically administered?,Cancer patients,0.24808993935585022,0,Family
C0012854,DNA,bacs,ADMINISTERED_TO,C0026809,Mus,mamm,2010,19952284,19952284,,28250372,To which species is DNA typically administered?,Vaccinia,0.14127688109874725,0,Mus
C0012854,DNA,bacs,ADMINISTERED_TO,C0029974,Ovum,cell,2010,20013228,20013228,,27645132,To which cell types is DNA typically administered?,Lymphocytes,0.17078840732574463,0,Ovum
C0012854,DNA,bacs,ADMINISTERED_TO,C0042542,Vero Cells,cell,2010,19941901,19941901,,22403021,To which cell types is DNA typically administered?,Lymphocytes,0.3750815689563751,0,Vero Cells
