subject_cui,subject_name,subject_semtype,predicate,object_cui,object_name,object_semtype,first_year,first_pmid,citation_pmid,first_issn,first_sentence_id
C0003320,Antigens,bacs,ADMINISTERED_TO,C0024400,Macaca mulatta,mamm,2010,19906933,19906933,,21111375
C0003320,Antigens,bacs,ADMINISTERED_TO,C0026809,Mus,mamm,2010,19967396,19967396,,1457266
C0003364,Antihypertensive Agents,phsu,ADMINISTERED_TO,C0030705,Patients,humn,2010,19918167,19918167,,27483241
C0003442,Antithymoglobulin,imft,ADMINISTERED_TO,C0030705,Patients,humn,2010,20002612,20002612,,21378620
C0003904,Arthroscopy,diap,ADMINISTERED_TO,C0679646,Participant,humn,2010,20012013,20012013,,26785114
C0004057,Aspirin,orch,ADMINISTERED_TO,C0030705,Patients,humn,2010,24148541,24148541,,22496229
C0004398,Autopsy,diap,ADMINISTERED_TO,C0030705,Patients,humn,2010,20012351,20012351,,27026248
C0004754,Barium Sulfate,inch,ADMINISTERED_TO,C0034493,Oryctolagus cuniculus,mamm,2010,19905989,19905989,,20510905
C0005064,Benzodiazepines,orch,ADMINISTERED_TO,C0030705,Patients,humn,2010,24917232,24917232,,19368306
C0005220,beta-Galactosidase,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,19940259,19940259,,21501431
C0005220,beta-Galactosidase,enzy,ADMINISTERED_TO,C1520166,Xenograft Model,emod,2010,19944136,19944136,,23667889
C0005221,beta-Globin,aapp,ADMINISTERED_TO,C0596508,Embryonic Stem Cell,cell,2010,20007595,20007595,,24447542
C0005558,Biopsy,diap,ADMINISTERED_TO,C0030705,Patients,humn,2010,19953629,19953629,,28941440
C0005558,Biopsy,diap,ADMINISTERED_TO,C0237401,Individual,humn,2010,19910937,19910937,,23200495
C0005740,Bleomycin,antb,ADMINISTERED_TO,C0025925,"Mice, Inbred ICR",mamm,2010,24278527,24278527,,21179599
C0005961,Bone Marrow Transplantation,topp,ADMINISTERED_TO,C0026809,Mus,mamm,2010,19953264,19953264,,28728661
C0006233,Bromodeoxyuridine,phsu,ADMINISTERED_TO,C0025914,House mice,mamm,2010,19908018,19908018,,21645278
C0006233,Bromodeoxyuridine,phsu,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,19908018,19908018,,21645278
C0006405,Buprenorphine,orch,ADMINISTERED_TO,C0033011,Pregnant Women,humn,2010,19945361,19945361,,24371292
C0006463,Busulfan,phsu,ADMINISTERED_TO,C0599755,cohort,humn,2010,19995390,19995390,,6773674
C0006556,"DNA, Complementary",nnon,ADMINISTERED_TO,C0004112,Astrocytes,cell,2010,20004601,20004601,,22438629
C0006556,"DNA, Complementary",nnon,ADMINISTERED_TO,C0007634,Cells,cell,2010,19935706,19935706,,18919112
C0006556,"DNA, Complementary",nnon,ADMINISTERED_TO,C0085080,Chinese Hamster Ovary Cell,cell,2010,20005200,20005200,,22837504
C0006558,C-Peptide,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,19917601,19917601,,27137598
C0006644,Caffeine,orch,ADMINISTERED_TO,C0026591,Mothers,humn,2010,19908252,19908252,,21836550
C0006674,Calcitriol,horm,ADMINISTERED_TO,C0026809,Mus,mamm,2010,19906814,19906814,,20998024
C0006931,Capsaicin,phsu,ADMINISTERED_TO,C0026809,Mus,mamm,2010,19950048,19950048,,27108820
C0007389,Cataract Extraction,topp,ADMINISTERED_TO,C0260073,Ophthalmic surgeon,humn,2010,23186812,23186812,,24855757
C0008188,Chlordiazepoxide,orch,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,20005883,20005883,,23323362
C0008407,Choline O-Acetyltransferase,gngm,ADMINISTERED_TO,C0007600,Cell Line,cell,2010,19950213,19950213,,27220068
C0008546,Chromatin,aapp,ADMINISTERED_TO,C0221284,Leptocyte,cell,2010,20007595,20007595,,24447327
C0008574,Chromium,bacs,ADMINISTERED_TO,C0086582,Males,humn,2010,20012467,20012467,,27109321
C0008838,Cisplatin,inch,ADMINISTERED_TO,C0030705,Patients,humn,2010,19952952,19952952,,28581996
C0008838,Cisplatin,inch,ADMINISTERED_TO,C0034493,Oryctolagus cuniculus,mamm,2010,19908089,19908089,,21699919
C0009079,Clozapine,orch,ADMINISTERED_TO,C0030705,Patients,humn,2010,19942641,19942641,,22830570
C0009244,Cognitive Therapy,topp,ADMINISTERED_TO,C0027361,Persons,humn,2010,19921305,19921305,,29091498
C0009325,Collagen,bacs,ADMINISTERED_TO,C0034493,Oryctolagus cuniculus,mamm,2010,19918893,19918893,,27896111
C0009378,colonoscopy,diap,ADMINISTERED_TO,C0030705,Patients,humn,2010,19966864,19966864,,1007839
C0009429,Combined Modality Therapy,topp,ADMINISTERED_TO,C0030705,Patients,humn,2010,19951972,19951972,,28121797
C0009905,"Contraceptives, Oral",phsu,ADMINISTERED_TO,C0043210,Woman,humn,2010,19906824,19906824,,21009719
C0009968,Copper,bacs,ADMINISTERED_TO,C0004112,Astrocytes,cell,2010,20004225,20004225,,22227614
C0009968,Copper,bacs,ADMINISTERED_TO,C0336121,Coppersmith,humn,2010,19921115,19921115,,28974704
C0010210,Counseling,hlca,ADMINISTERED_TO,C1257890,Population Group,humn,2010,23804607,23804607,,26686992
C0010467,Curcumin,orch,ADMINISTERED_TO,C0034715,"Rats, Sprague-Dawley",mamm,2010,19913070,19913070,,24467314
C0010583,Cyclophosphamide,opco,ADMINISTERED_TO,C0026809,Mus,mamm,2010,19950395,19950395,,27327919
C0010592,Cyclosporine,phsu,ADMINISTERED_TO,C0376387,"Recipient, Transplant",humn,2010,20000877,20000877,,20420632
C0010806|3880,Keratin-19|KRT19,aapp,ADMINISTERED_TO,C0014597,Epithelial Cells,cell,2010,19908018,19908018,,21644557
C0010927,Dacarbazine,orch,ADMINISTERED_TO,C0030705,Patients,humn,2010,19952952,19952952,,28581996
C0011535,Deoxyuridine,bacs,ADMINISTERED_TO,C0014597,Epithelial Cells,cell,2010,19908018,19908018,,21644557
C0011535,Deoxyuridine,bacs,ADMINISTERED_TO,C0026809,Mus,mamm,2010,19939225,19939225,,20799987
C0011701,Deamino Arginine Vasopressin,horm,ADMINISTERED_TO,C0034694,"Rats, Brattleboro",mamm,2010,20007345,20007345,,24203936
C0011777,Dexamethasone,phsu,ADMINISTERED_TO,C0003062,Animals,anim,2010,19913076,19913076,,24474326
C0011892,Heroin,hops,ADMINISTERED_TO,C0679646,Participant,humn,2010,24062619,24062619,,28852708
C0011900,Diagnosis,hlca,ADMINISTERED_TO,C0001675,Adult,humn,2010,25478092,25478092,,10991731
C0011900,Diagnosis,hlca,ADMINISTERED_TO,C0030551,parent,humn,2010,20015252,20015252,,28759290
C0011900,Diagnosis,hlca,ADMINISTERED_TO,C0030705,Patients,humn,2010,27755799,27755799,,16904164
C0011900,Diagnosis,hlca,ADMINISTERED_TO,C0031831,Physicians,humn,2010,20005588,20005588,,23135758
C0012463,Dinitrofluorobenzene,orch,ADMINISTERED_TO,C0026809,Mus,mamm,2010,20003567,20003567,,21799229
C0012737,Dissection,topp,ADMINISTERED_TO,C0030705,Patients,humn,2010,27628634,27628634,,8104640
C0012788,Dithionitrobenzoic Acid,orch,ADMINISTERED_TO,C0007634,Cells,cell,2010,20013182,20013182,,27615958
C0012854,DNA,bacs,ADMINISTERED_TO,C0007634,Cells,cell,2010,19937273,19937273,,19837405
C0012854,DNA,bacs,ADMINISTERED_TO,C0009932,Control Groups,humn,2010,20007843,20007843,,24613217
C0012854,DNA,bacs,ADMINISTERED_TO,C0015576,Family,humn,2010,19948258,19948258,,26014038
C0012854,DNA,bacs,ADMINISTERED_TO,C0026809,Mus,mamm,2010,19952284,19952284,,28250372
C0012854,DNA,bacs,ADMINISTERED_TO,C0029974,Ovum,cell,2010,20013228,20013228,,27645132
C0012854,DNA,bacs,ADMINISTERED_TO,C0042542,Vero Cells,cell,2010,19941901,19941901,,22403021
C0012854,DNA,bacs,ADMINISTERED_TO,C0221284,Leptocyte,cell,2010,19949900,19949900,,26999979
C0012854,DNA,bacs,ADMINISTERED_TO,C0683971,General Population,humn,2010,20012890,20012890,,27402352
C0012854,DNA,bacs,ADMINISTERED_TO,C1516469,Chicken Cells,cell,2010,19940061,19940061,,21314092
C0012929,"DNA, Mitochondrial",bacs,ADMINISTERED_TO,C0325253,Bos grunniens,mamm,2010,19917041,19917041,,26794648
C0012929,"DNA, Mitochondrial",bacs,ADMINISTERED_TO,C1257890,Population Group,humn,2010,20002167,20002167,,21090293
C0013089,Doxorubicin,orch,ADMINISTERED_TO,C0018873,Hela Cells,cell,2010,20001219,20001219,,20576187
C0013089,Doxorubicin,orch,ADMINISTERED_TO,C0682523,Human Cell Line,cell,2010,19997869,19997869,,19126266
C0013162,Drug Combinations,phsu,ADMINISTERED_TO,C0030705,Patients,humn,2010,19948235,19948235,,25997546
C0013216,Pharmacotherapy,topp,ADMINISTERED_TO,C0025921,"Mice, Inbred C57BL",mamm,2010,20014946,20014946,,28544147
C0013216,Pharmacotherapy,topp,ADMINISTERED_TO,C0030705,Patients,humn,2010,19967569,19967569,,1631144
C0013216,Pharmacotherapy,topp,ADMINISTERED_TO,C1516213,Cancer Patient,humn,2010,20010331,20010331,,25930599
C0013218,Combination Drug Therapy,topp,ADMINISTERED_TO,C0030705,Patients,humn,2010,19952952,19952952,,28581996
C0013227,Pharmaceutical Preparations,phsu,ADMINISTERED_TO,C0003062,Animals,anim,2010,20012393,20012393,,27056199
C0013227,Pharmaceutical Preparations,phsu,ADMINISTERED_TO,C0020114,Human,humn,2010,19910513,19910513,,22963286
C0013227,Pharmaceutical Preparations,phsu,ADMINISTERED_TO,C0027361,Persons,humn,2010,19909766,19909766,,22540167
C0013227,Pharmaceutical Preparations,phsu,ADMINISTERED_TO,C0030705,Patients,humn,2010,19935391,19935391,,18795606
C0013227,Pharmaceutical Preparations,phsu,ADMINISTERED_TO,C0086582,Males,humn,2010,24917316,24917316,,19421548
C0013227,Pharmaceutical Preparations,phsu,ADMINISTERED_TO,C0237401,Individual,humn,2010,19912512,19912512,,23934143
C0013227,Pharmaceutical Preparations,phsu,ADMINISTERED_TO,C0242821,Human body,humn,2010,23960722,23960722,,26005940
C0013227,Pharmaceutical Preparations,phsu,ADMINISTERED_TO,C0260039,Nephrologist,humn,2010,19968662,19968662,,2402424
C0013227,Pharmaceutical Preparations,phsu,ADMINISTERED_TO,C0680681,VICTIM,humn,2010,26242458,26242458,,28417310
C0013516,Echocardiography,diap,ADMINISTERED_TO,C0030705,Patients,humn,2010,19967561,19967561,,1620248
C0013798,Electrocardiogram,diap,ADMINISTERED_TO,C0030705,Patients,humn,2010,19915894,19915894,,26193903
C0013806,Electroconvulsive Therapy,topp,ADMINISTERED_TO,C0030705,Patients,humn,2010,19935094,19935094,,18714880
C0013819,Electroencephalography,diap,ADMINISTERED_TO,C0030705,Patients,humn,2010,20006721,20006721,,23853157
C0013931,"Embolization, Therapeutic",topp,ADMINISTERED_TO,C0030705,Patients,humn,2010,24148599,24148599,,22548278
C0013931,"Embolization, Therapeutic",topp,ADMINISTERED_TO,C0260194,radiologist,humn,2010,24148543,24148543,,22499460
C0013938,Embryo Transfer,topp,ADMINISTERED_TO,C0337489,Foster mother,humn,2010,20013227,20013227,,27644617
C0014245,endoscopy,diap,ADMINISTERED_TO,C0030705,Patients,humn,2010,23756800,23756800,,18808564
C0014442,Enzymes,orch,ADMINISTERED_TO,C0007634,Cells,cell,2010,20008517,20008517,,25087476
C0014563,Epinephrine,horm,ADMINISTERED_TO,C0030705,Patients,humn,2010,19953579,19953579,,28915001
C0015011,Ethinyl Estradiol,horm,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,23960717,23960717,,25997527
C0015087,Ethylene Oxide,orch,ADMINISTERED_TO,C0038250,Stem cells,cell,2010,19944190,19944190,,23715753
C0015260,Exercise stress test,diap,ADMINISTERED_TO,C0008059,Child,humn,2010,19915890,19915890,,26187192
C0015260,Exercise stress test,diap,ADMINISTERED_TO,C0030705,Patients,humn,2010,20001969,20001969,,20987481
C0015260,Exercise stress test,diap,ADMINISTERED_TO,C0043210,Woman,humn,2010,19937568,19937568,,20022323
C0015980,Interferon-beta,imft,ADMINISTERED_TO,C0035804,Rodent,mamm,2010,19911974,19911974,,23676226
C0015980,Interferon-beta,imft,ADMINISTERED_TO,C0237798,Nonhuman Primates,mamm,2010,19911974,19911974,,23676226
C0016337,Fluorocarbon Polymers,orch,ADMINISTERED_TO,C0007634,Cells,cell,2010,19937001,19937001,,19660567
C0016410,Folic Acid,orch,ADMINISTERED_TO,C0007634,Cells,cell,2010,20014825,20014825,,28475364
C0016911,Gadolinium,elii,ADMINISTERED_TO,C0376387,"Recipient, Transplant",humn,2010,19939504,19939504,,20950762
C0016980,Gallium,elii,ADMINISTERED_TO,C0026809,Mus,mamm,2010,19917753,19917753,,27276491
C0017037,Glutamate-Cysteine Ligase,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,19914271,19914271,,25262884
C0017066,Ganciclovir,nnon,ADMINISTERED_TO,C0007634,Cells,cell,2010,19945214,19945214,,24286882
C0017066,Ganciclovir,phsu,ADMINISTERED_TO,C0030705,Patients,humn,2010,20002356,20002356,,21241102
C0017337,Genes,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,19951254,19951254,,27776682
C0017725,Glucose,bacs,ADMINISTERED_TO,C0026809,Mus,mamm,2010,19917278,19917278,,26923737
C0017725,Glucose,bacs,ADMINISTERED_TO,C0027882,Neurons,cell,2010,19937972,19937972,,20260376
C0017725,Glucose,bacs,ADMINISTERED_TO,C0229579,Structure of thyroid parafollicular cell,cell,2010,20006429,20006429,,23625571
C0017817,Glutathione,bacs,ADMINISTERED_TO,C0026809,Mus,mamm,2010,20001648,20001648,,20797654
C0017861,Glycerol,bacs,ADMINISTERED_TO,C0007634,Cells,cell,2010,20005232,20005232,,22871683
C0017861,Glycerol,bacs,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,19903863,19903863,,19583506
C0017968,Glycoproteins,aapp,ADMINISTERED_TO,C0007634,Cells,cell,2010,19906395,19906395,,20754390
C0018546,Haloperidol,orch,ADMINISTERED_TO,C0325219,Capreolus capreolus,mamm,2010,20006891,20006891,,23935088
C0018747,Health Services,hlca,ADMINISTERED_TO,C0027361,Persons,humn,2010,19914759,19914759,,25539500
C0018795,Cardiac Catheterization Procedures,diap,ADMINISTERED_TO,C0030705,Patients,humn,2010,19940080,19940080,,21345105
C0018909,Hemagglutinin,bacs,ADMINISTERED_TO,C0007634,Cells,cell,2010,20010723,20010723,,26127347
C0019046,Hemoglobin,bacs,ADMINISTERED_TO,C0026447,Monkeys,mamm,2010,19910538,19910538,,22988533
C0019046,Hemoglobin,bacs,ADMINISTERED_TO,C0030705,Patients,humn,2010,19940840,19940840,,21769272
C0019134,Heparin,bacs,ADMINISTERED_TO,C0596070,American,humn,2010,24479237,24479237,,26996607
C0019143,Heparitin Sulfate,bacs,ADMINISTERED_TO,C0007600,Cell Line,cell,2010,20004926,20004926,,22659014
C0019588,Histamine,orch,ADMINISTERED_TO,C0004112,Astrocytes,cell,2010,20013137,20013137,,27578193
C0019878,homocysteine,bacs,ADMINISTERED_TO,C0021289,"Infant, Newborn",humn,2010,19913086,19913086,,24482887
C0019878,homocysteine,bacs,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,19913086,19913086,,24482887
C0019993,Hospitalization,hlca,ADMINISTERED_TO,C0001675,Adult,humn,2010,24917317,24917317,,19422280
C0020259,Hydrochloric Acid,inch,ADMINISTERED_TO,C0026809,Mus,mamm,2010,20007539,20007539,,24398772
C0020402,hydroxyurea,orch,ADMINISTERED_TO,C0023516,Leukocytes,cell,2010,20001298,20001298,,20623372
C0020402,hydroxyurea,orch,ADMINISTERED_TO,C0030705,Patients,humn,2010,19903897,19903897,,19610439
C0020699,Hysterectomy,topp,ADMINISTERED_TO,C0582175,Surgeon,humn,2010,27627951,27627951,,7725836
C0020740,Ibuprofen,orch,ADMINISTERED_TO,C0021270,Infant,humn,2010,20013605,20013605,,27869930
C0020934,Imipramine,orch,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,18982003,18982003,,121354865
C0021013,Immunoglobulin Idiotypes,imft,ADMINISTERED_TO,C0324547,New Zealand white rabbit,mamm,2010,23082491,23082491,,19502352
C0021027,Immunoglobulins,imft,ADMINISTERED_TO,C0030705,Patients,humn,2010,19914873,19914873,,25603427
C0021079,Therapeutic immunosuppression,topp,ADMINISTERED_TO,C0030705,Patients,humn,2010,20002612,20002612,,21378620
C0021083,Immunotherapy,topp,ADMINISTERED_TO,C0030705,Patients,humn,2010,19995227,19995227,,6689313
C0021107,Implantation procedure,topp,ADMINISTERED_TO,C0025932,"Mice, Nude",mamm,2010,19945928,19945928,,24723377
C0021107,Implantation procedure,topp,ADMINISTERED_TO,C0026809,Mus,mamm,2010,19951460,19951460,,27871249
C0021107,Implantation procedure,topp,ADMINISTERED_TO,C0030705,Patients,humn,2010,24899954,24899954,,26519803
C0021153,Decompressive incision,topp,ADMINISTERED_TO,C0030705,Patients,humn,2010,19902277,19902277,,18654668
C0021153,Decompressive incision,topp,ADMINISTERED_TO,C0582175,Surgeon,humn,2010,20012451,20012451,,27097960
C0021246,Indomethacin,orch,ADMINISTERED_TO,C0021270,Infant,humn,2010,20013605,20013605,,27869930
C0021493,"Injections, Intraperitoneal",topp,ADMINISTERED_TO,C0026809,Mus,mamm,2010,19967260,19967260,,1343173
C0021493,"Injections, Intraperitoneal",topp,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,19967445,19967445,,1502703
C0021493,"Injections, Intraperitoneal",topp,ADMINISTERED_TO,C0034716,"Rats, Wistar",mamm,2010,19944569,19944569,,23919756
C0021493,"Injections, Intraperitoneal",topp,ADMINISTERED_TO,C0206745,"Mice, Knockout",mamm,2010,19902350,19902350,,18708924
C0021641,Insulin,horm,ADMINISTERED_TO,C0030705,Patients,humn,2010,20009090,20009090,,25390250
C0021658,"Insulin, Isophane",horm,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,19953342,19953342,,28793179
C0021734,Interferon Alfa-2a,imft,ADMINISTERED_TO,C0030705,Patients,humn,2010,19952950,19952950,,28579447
C0021747,Interferons,aapp,ADMINISTERED_TO,C0312737,Immunologic cell,cell,2010,19951284,19951284,,27794700
C0021756,Interleukin-2,imft,ADMINISTERED_TO,C1516213,Cancer Patient,humn,2010,20005762,20005762,,23238351
C0021758,Interleukin-4,imft,ADMINISTERED_TO,C0013018,Donor person,humn,2010,19944758,19944758,,24066812
C0021917,"Instillation, Bladder",topp,ADMINISTERED_TO,C0026809,Mus,mamm,2010,20015287,20015287,,28780377
C0021925,Intubation,topp,ADMINISTERED_TO,C0034693,Rattus norvegicus,mamm,2010,19945529,19945529,,24508421
C0022262,Isotopes,elii,ADMINISTERED_TO,C0021289,"Infant, Newborn",humn,2010,19915518,19915518,,25958954
C0022265,Isotretinoin,orch,ADMINISTERED_TO,C0030705,Patients,humn,2010,20000864,20000864,,20404001
C0022487,Kanamycin,antb,ADMINISTERED_TO,C0026809,Mus,mamm,2010,19936834,19936834,,19560993
C0023570,Levodopa,nsba,ADMINISTERED_TO,C0030705,Patients,humn,2010,19938151,19938151,,20366416
C0023779,Lipids,lipd,ADMINISTERED_TO,C0007634,Cells,cell,2010,20004971,20004971,,22698374
C0023791,Thioctic Acid,orch,ADMINISTERED_TO,C0030705,Patients,humn,2010,23960733,23960733,,26017164
C0023810,Lipopolysaccharides,lipd,ADMINISTERED_TO,C0026809,Mus,mamm,2010,19951063,19951063,,27676455
C0023810,Lipopolysaccharides,lipd,ADMINISTERED_TO,C0032112,Plasma Cells,cell,2010,19937016,19937016,,19672730
