subject_cui,subject_name,subject_semtype,predicate,object_cui,object_name,object_semtype,first_year,first_pmid,citation_pmid,first_issn,first_sentence_id,Questions
64127,NOD2,gngm,AFFECTS,C0004391,Autophagy,celf,2010,19966812,19966812,,961440,Which cell types does NOD2 primarily affect?
C0000975,Acetate,orch,AFFECTS,C0001807,Aggressive behavior,mobd,2010,19966787,19966787,,939706,Which diseases or conditions does Acetate primarily affect?
C0002395,Alzheimer's Disease,dsyn,AFFECTS,C0001792,Elderly,humn,2010,19902324,19902324,,18689919,Which patients or groups does Alzheimer's Disease primarily affect?
C0004096,Asthma,dsyn,AFFECTS,C0565699,Ability to perform general manipulative activities,fndg,2010,27744795,27744795,,12873095,Which clinical findings does Asthma primarily affect?
C0006826,Malignant Neoplasms,neop,AFFECTS,C0014644,"Herpesvirus 4, Human",virs,2010,19997065,19997065,,18696826,Which virus does Malignant Neoplasms primarily affect?
C0006826,Malignant Neoplasms,neop,AFFECTS,C0546837,Malignant neoplasm of esophagus,neop,2010,27755781,27755781,,16898855,Which diseases or conditions does Malignant Neoplasms primarily affect?
C0007018,Carbon Monoxide,hops,AFFECTS,C0018787,Heart,bpoc,2010,19935076,19935076,,18704788,Which tissues or organs does Carbon Monoxide primarily affect?
C0007382,Catalysis,npop,AFFECTS,C1330957,Cytokinesis of the fertilized ovum,celf,2010,19966797,19966797,,947127,Which cell types does Catalysis primarily affect?
C0009528,Complement Activation,moft,AFFECTS,C0009498,Complement System Proteins,gngm,2010,19997064,19997064,,18696635,Which genes does Complement Activation primarily affect?
C0012634,Disease,dsyn,AFFECTS,C0043210,Woman,humn,2010,19935059,19935059,,18698718,Which patients or groups does Disease primarily affect?
C0012860,DNA Damage,comd,AFFECTS,C0596263,Carcinogenesis,neop,2010,19902326,19902326,,18692357,Which diseases or conditions does DNA Damage primarily affect?
C0012963,Dobutamine,orch,AFFECTS,C0018787,Heart,bpoc,2010,19997056,19997056,,18687691,Which tissues or organs does Dobutamine primarily affect?
C0013030,Dopamine,orch,AFFECTS,C0018787,Heart,bpoc,2010,19997056,19997056,,18687691,Which tissues or organs does Dopamine primarily affect?
C0013058,Dosage Forms,bodm,AFFECTS,C0011168,Deglutition Disorders,dsyn,2010,27721339,27721339,,1240705,Which diseases or conditions does Dosage Forms primarily affect?
C0014563,Epinephrine,orch,AFFECTS,C0018787,Heart,bpoc,2010,19997056,19997056,,18687691,Which tissues or organs does Epinephrine primarily affect?
C0016943,Galactosamine,bacs,AFFECTS,C0031715,Phosphorylation,moft,2010,19997066,19997066,,18699985,Which medical entities does Galactosamine primarily affect?
C0017110,Gases,chvs,AFFECTS,C0242606,Oxidative Stress,comd,2010,19997046,19997046,,18670593,Which medical entities does Gases primarily affect?
C0017337,Genes,gngm,AFFECTS,C0007586,Cell Cycle,celf,2010,19966851,19966851,,982493,Which cell types does Genes primarily affect?
C0017337,Genes,gngm,AFFECTS,C0012899,DNA Repair,genf,2010,19966851,19966851,,982493,Which medical entities does Genes primarily affect?
C0017337,Genes,gngm,AFFECTS,C0162638,Apoptosis,celf,2010,19966851,19966851,,982493,Which cell types does Genes primarily affect?
C0017337,Genes,gngm,AFFECTS,C0683140,Drug Metabolism,moft,2010,19966851,19966851,,982493,Which medical entities does Genes primarily affect?
C0019796,HMGB1 Protein,aapp,AFFECTS,C1268930,Immunologic function,ortf,2010,19997053,19997053,,18683950,Which medical entities does HMGB1 Protein primarily affect?
C0020488,Hypernatremia,dsyn,AFFECTS,C0039971,Thirst,phsf,2010,25302439,25302439,,18693299,Which physiologic functions does Hypernatremia primarily affect?
C0025086,Medical Imaging,diap,AFFECTS,C0206062,"Lung Diseases, Interstitial",dsyn,2010,18982390,18982390,,121356975,Which diseases or conditions does Medical Imaging primarily affect?
C0028128,Nitric Oxide,bacs,AFFECTS,C0005847,Blood Vessels,bpoc,2010,19997045,19997045,,18668957,Which tissues or organs does Nitric Oxide primarily affect?
C0030567,Parkinson Disease,dsyn,AFFECTS,C0027361,Persons,humn,2010,27744843,27744843,,12879214,Which patients or groups does Parkinson Disease primarily affect?
C0031516,Pheromone,bacs,AFFECTS,C0001807,Aggressive behavior,mobd,2010,19966787,19966787,,938719,Which diseases or conditions does Pheromone primarily affect?
C0036983,Septic Shock,patf,AFFECTS,C0003043,Animalia,anim,2010,19997054,19997054,,18684556,Which medical entities does Septic Shock primarily affect?
C0037494,Sodium Chloride,bacs,AFFECTS,C1154952,hyperosmotic salinity response,celf,2010,19902321,19902321,,18685580,Which cell types does Sodium Chloride primarily affect?
C0037663,Somatotropin,aapp,AFFECTS,C0240417,Form of muscle,fndg,2010,19902270,19902270,,18648425,Which clinical findings does Somatotropin primarily affect?
C0039194,T-Lymphocyte,cell,AFFECTS,C1327413,cytokine production,orgf,2010,19997047,19997047,,18673015,Which medical entities does T-Lymphocyte primarily affect?
C0055003,cefepime,antb,AFFECTS,C0018270,Growth,orgf,2010,27721360,27721360,,1265706,Which medical entities does cefepime primarily affect?
C0062529,hepatitis B virus X protein,aapp,AFFECTS,C0042769,Virus Diseases,dsyn,2010,19966799,19966799,,948629,Which diseases or conditions does hepatitis B virus X protein primarily affect?
C0073393,Risperidone,orch,AFFECTS,C0006104,Brain,bpoc,2010,27721355,27721355,,1257431,Which tissues or organs does Risperidone primarily affect?
C0074722,Sodium Bicarbonate,inch,AFFECTS,C0028884,Odors,npop,2010,27744972,27744972,,12892508,Which medical entities does Sodium Bicarbonate primarily affect?
C0086982,Signal Transduction Pathways,celf,AFFECTS,C0017262,Gene Expression,genf,2010,18977250,18977250,,121328791,Which medical entities does Signal Transduction Pathways primarily affect?
C0101725,receptor for advanced glycation endproducts,aapp,AFFECTS,C0151654,Myocardial fibrosis,patf,2010,19902320,19902320,,18683377,Which pathologic functions does receptor for advanced glycation endproducts primarily affect?
C0110610,connective tissue growth factor,aapp,AFFECTS,C0151654,Myocardial fibrosis,patf,2010,19902320,19902320,,18683377,Which pathologic functions does connective tissue growth factor primarily affect?
C0162772,Reactive Oxygen Species,bacs,AFFECTS,C0699748,Pathogenesis,patf,2010,19997046,19997046,,18670897,Which pathologic functions does Reactive Oxygen Species primarily affect?
C0242656,Disease Progression,patf,AFFECTS,C0032529,"Polymorphism, Genetic",genf,2010,19966851,19966851,,983312,Which medical entities does Disease Progression primarily affect?
C0246904,Levosimendan,orch,AFFECTS,C0018787,Heart,bpoc,2010,19997056,19997056,,18687691,Which tissues or organs does Levosimendan primarily affect?
C0289313,rosiglitazone,orch,AFFECTS,C1155266,Inflammatory Response,patf,2010,19997048,19997048,,18675154,Which pathologic functions does rosiglitazone primarily affect?
C0334168,New bone formation,ortf,AFFECTS,C0079949,Osseointegration,ortf,2010,19902334,19902334,,18698506,Which medical entities does New bone formation primarily affect?
C0342579,Electrolyte imbalance NOS,patf,AFFECTS,C0039971,Thirst,phsf,2010,25302439,25302439,,18693299,Which physiologic functions does Electrolyte imbalance NOS primarily affect?
C0346647,Malignant neoplasm of pancreas,neop,AFFECTS,C1179571,Parenchyma of pancreas,bpoc,2010,18987909,18987909,,121387304,Which tissues or organs does Malignant neoplasm of pancreas primarily affect?
C0379275,PPAR delta,aapp,AFFECTS,C0027055,Myocardial Reperfusion Injury,patf,2010,19997057,19997057,,18689157,Which pathologic functions does PPAR delta primarily affect?
C0398625,Protein C Deficiency,dsyn,AFFECTS,C0030705,Patients,humn,2010,18977778,18977778,,121332694,Which patients or groups does Protein C Deficiency primarily affect?
C0453289,Pomegranate,food,AFFECTS,C0012634,Disease,dsyn,2010,19997071,19997071,,18704476,Which diseases or conditions does Pomegranate primarily affect?
C0563232,Radiant heat,npop,AFFECTS,C0034538,Ionizing radiation,npop,2010,19966832,19966832,,968905,Which medical entities does Radiant heat primarily affect?
C0596473,Early Diagnosis,diap,AFFECTS,C0036983,Septic Shock,patf,2010,25302436,25302436,,18691242,Which pathologic functions does Early Diagnosis primarily affect?
C0600434,Peroxisome Proliferators,hops,AFFECTS,C0016059,Fibrosis,patf,2010,19902320,19902320,,18683147,Which pathologic functions does Peroxisome Proliferators primarily affect?
C0671771,pregnane X receptor,aapp,AFFECTS,C0019868,Homeostasis,orgf,2010,19997066,19997066,,18700963,Which medical entities does pregnane X receptor primarily affect?
C0699680,Metric,phsu,AFFECTS,C0038455,Stroke Volume,fndg,2010,19997052,19997052,,18682478,Which clinical findings does Metric primarily affect?
C0753678,9-hydroxy-risperidone,orch,AFFECTS,C0006104,Brain,bpoc,2010,27721355,27721355,,1257431,Which tissues or organs does 9-hydroxy-risperidone primarily affect?
C1101610,MicroRNAs,bacs,AFFECTS,C0017262,Gene Expression,genf,2010,19966833,19966833,,969883,Which medical entities does MicroRNAs primarily affect?
C1101610,MicroRNAs,bacs,AFFECTS,C0030660,Pathologic Processes,patf,2010,19966833,19966833,,970450,Which pathologic functions does MicroRNAs primarily affect?
C1167250,lipid raft,celc,AFFECTS,C0086982,Signal Transduction Pathways,celf,2010,19997063,19997063,,18693957,Which cell types does lipid raft primarily affect?
C1167250,lipid raft,celc,AFFECTS,C0301872,Immune response,orgf,2010,19997063,19997063,,18694985,Which medical entities does lipid raft primarily affect?
C1325880,cellular process,celf,AFFECTS,C0001271,Actins,bacs,2010,18977250,18977250,,121328788,Which active substances does cellular process primarily affect?
C1334043,Homologous Gene,gngm,AFFECTS,C1327526,circadian response,orgf,2010,19966839,19966839,,974404,Which medical entities does Homologous Gene primarily affect?
C1336014,Small RNA,bacs,AFFECTS,C0598496,Gene Silencing,genf,2010,19966796,19966796,,946297,Which medical entities does Small RNA primarily affect?
C1512457,High Resolution Computed Tomography,diap,AFFECTS,C0206062,"Lung Diseases, Interstitial",dsyn,2010,18982390,18982390,,121356975,Which diseases or conditions does High Resolution Computed Tomography primarily affect?
C1519595,Transcript,nnon,AFFECTS,C1441152,RIBOSOMAL,celc,2010,19966804,19966804,,953672,Which medical entities does Transcript primarily affect?
64127,NOD2,gngm,ASSOCIATED_WITH,C0010346,Crohn's disease,dsyn,2010,19966812,19966812,,960929,Which diseases or conditions is NOD2 most strongly associated with?
6616,SNAP25,gngm,ASSOCIATED_WITH,C0027932,Neurotic Disorders,mobd,2010,18957941,18957941,,121212658,Which diseases or conditions is SNAP25 most strongly associated with?
6928,HNF1B,gngm,ASSOCIATED_WITH,C0151747,Renal tubular disorder,dsyn,2010,19966811,19966811,,958342,Which diseases or conditions is HNF1B most strongly associated with?
C0002395,Alzheimer's Disease,dsyn,ASSOCIATED_WITH,C0032529,"Polymorphism, Genetic",genf,2010,19902324,19902324,,18689117,Which medical entities is Alzheimer's Disease most strongly associated with?
C0015219,Evolution,genf,ASSOCIATED_WITH,C0040649,"Transcription, Genetic",genf,2010,19966801,19966801,,952729,Which medical entities is Evolution most strongly associated with?
C0018270,Growth,orgf,ASSOCIATED_WITH,C0012634,Disease,dsyn,2010,19902272,19902272,,18649176,Which diseases or conditions is Growth most strongly associated with?
C0018270,Growth,orgf,ASSOCIATED_WITH,C0268016,Chronic hypokalemia,dsyn,2010,19902272,19902272,,18649176,Which diseases or conditions is Growth most strongly associated with?
C0034815,Histamine H2 Receptors,aapp,ASSOCIATED_WITH,C0031350,Pharyngitis,dsyn,2010,23980335,23980335,,18695256,Which diseases or conditions is Histamine H2 Receptors most strongly associated with?
C0038317,Steroids,strd,ASSOCIATED_WITH,C0024141,"Lupus Erythematosus, Systemic",dsyn,2010,19902267,19902267,,18643386,Which diseases or conditions is Steroids most strongly associated with?
C0039601,Testosterone,horm,ASSOCIATED_WITH,C0242350,Erectile dysfunction,dsyn,2010,19997070,19997070,,18702944,Which diseases or conditions is Testosterone most strongly associated with?
C0054504|6279,Calgranulin A|S100A8,aapp,ASSOCIATED_WITH,C0699748,Pathogenesis,patf,2010,19966800,19966800,,949650,Which pathologic functions is Calgranulin A|S100A8 most strongly associated with?
C0299583,Leptin,aapp,ASSOCIATED_WITH,C1442161,DELETION,comd,2010,19966786,19966786,,938216,Which medical entities is Leptin most strongly associated with?
C0574785,Lower urinary tract symptoms,sosy,ASSOCIATED_WITH,C0149525,Calculus of prostate,dsyn,2010,19966831,19966831,,967218,Which diseases or conditions is Lower urinary tract symptoms most strongly associated with?
C0752046,Single Nucleotide Polymorphism,nusq,ASSOCIATED_WITH,C0002395,Alzheimer's Disease,dsyn,2010,19902324,19902324,,18689307,Which diseases or conditions is Single Nucleotide Polymorphism most strongly associated with?
C0752046,Single Nucleotide Polymorphism,nusq,ASSOCIATED_WITH,C0004936,Mental disorders,mobd,2010,18957941,18957941,,121212657,Which diseases or conditions is Single Nucleotide Polymorphism most strongly associated with?
C1101610,MicroRNAs,bacs,ASSOCIATED_WITH,C0007222,Cardiovascular Diseases,dsyn,2010,19966833,19966833,,970206,Which diseases or conditions is MicroRNAs most strongly associated with?
C1334505|4255,MGMT gene|MGMT,gngm,ASSOCIATED_WITH,C0555198,Malignant Glioma,neop,2010,19997073,19997073,,18707961,Which diseases or conditions is MGMT gene|MGMT most strongly associated with?
C1366832|51761,"ATPase, Aminophospholipid Transporter-Like, Class I, Type 8A, Member 2|ATP8A2",aapp,ASSOCIATED_WITH,C0031154,Peritonitis,dsyn,2010,19997049,19997049,,18676865,"Which diseases or conditions is ATPase, Aminophospholipid Transporter-Like, Class I, Type 8A, Member 2|ATP8A2 most strongly associated with?"
C1421249|7297,TYK2 gene|TYK2,gngm,ASSOCIATED_WITH,C0024141,"Lupus Erythematosus, Systemic",dsyn,2010,19966805,19966805,,954729,Which diseases or conditions is TYK2 gene|TYK2 most strongly associated with?
C1421249|7297,TYK2 gene|TYK2,gngm,ASSOCIATED_WITH,C0026769,Multiple Sclerosis,dsyn,2010,19966805,19966805,,954729,Which diseases or conditions is TYK2 gene|TYK2 most strongly associated with?
C0023810,Lipopolysaccharides,lipd,AUGMENTS,C0027950,neutrophil,cell,2010,19997047,19997047,,18672674,"In a biomedical context, what is the relationship between Lipopolysaccharides and cell types via AUGMENTS?"
C0023810,Lipopolysaccharides,lipd,AUGMENTS,C0206116,Microglia,cell,2010,18986737,18986737,,121379760,"In a biomedical context, what is the relationship between Lipopolysaccharides and cell types via AUGMENTS?"
C0027270,Nicotinamide adenine dinucleotide (NAD),bacs,AUGMENTS,C0017952,Glycolysis,moft,2010,19902282,19902282,,18660636,"In a biomedical context, what is the relationship between Nicotinamide adenine dinucleotide (NAD) and medical entities via AUGMENTS?"
C0030616|5816,Parvalbumins|PVALB,aapp,AUGMENTS,C0018787,Heart,bpoc,2010,18977019,18977019,,121327153,"In a biomedical context, what is the relationship between Parvalbumins|PVALB and tissues or organs via AUGMENTS?"
C0042742,Viral Vaccines,phsu,AUGMENTS,C0020966,"Immunity, Cellular",orgf,2010,19966816,19966816,,964920,"In a biomedical context, what is the relationship between Viral Vaccines and medical entities via AUGMENTS?"
C0061928,GTPase-Activating Proteins,aapp,AUGMENTS,C0456261,Pulmonary Vascular Resistance,phsf,2010,19997054,19997054,,18685449,"In a biomedical context, what is the relationship between GTPase-Activating Proteins and physiologic functions via AUGMENTS?"
C0246904,Levosimendan,orch,AUGMENTS,C0232338,Blood flow,orgf,2010,19997054,19997054,,18684191,"In a biomedical context, what is the relationship between Levosimendan and medical entities via AUGMENTS?"
C0520481,Saponin,strd,AUGMENTS,C0237820,Recovery,orgf,2010,19902279,19902279,,18657580,"In a biomedical context, what is the relationship between Saponin and medical entities via AUGMENTS?"
C0538674,Heme Oxygenase-1,aapp,AUGMENTS,C0162638,Apoptosis,celf,2010,19997066,19997066,,18701146,"In a biomedical context, what is the relationship between Heme Oxygenase-1 and cell types via AUGMENTS?"
C0694889|5925|129831,RB1 gene|RB1|RBM45,gngm,AUGMENTS,C1326912,Tumorigenesis,neop,2010,19966802,19966802,,950315,"In a biomedical context, what is the relationship between RB1 gene|RB1|RBM45 and diseases or conditions via AUGMENTS?"
C1136170,Virulence Factors,orch,AUGMENTS,C0042765,Virulence,biof,2010,19966814,19966814,,963474,"In a biomedical context, what is the relationship between Virulence Factors and biologic functions via AUGMENTS?"
3429|5715|10534|10671|51014,IFI27|PSMD9|SSSCA1|DCTN6|TMED7,gngm,CAUSES,C0162638,Apoptosis,celf,2010,19966802,19966802,,951540,Which cell types can IFI27|PSMD9|SSSCA1|DCTN6|TMED7 cause or induce?
C0004611,Bacteria,bact,CAUSES,C1535950,Gastrointestinal inflammation,dsyn,2010,19966812,19966812,,960929,Which diseases or conditions can Bacteria cause or induce?
C0005558,Biopsy,diap,CAUSES,C0023882,Little's Disease,dsyn,2010,19935058,19935058,,18697034,Which diseases or conditions can Biopsy cause or induce?
C0007177,Cardiac Tamponade,dsyn,CAUSES,C0036982,"Shock, Hemorrhagic",patf,2010,25302437,25302437,,18692224,Which pathologic functions can Cardiac Tamponade cause or induce?
C0012634,Disease,dsyn,CAUSES,C0025162,"Megacolon, Toxic",dsyn,2010,27741668,27741668,,11478997,Which diseases or conditions can Disease cause or induce?
C0013089,Doxorubicin,antb,CAUSES,C0878544,Cardiomyopathies,dsyn,2010,19935076,19935076,,18704630,Which diseases or conditions can Doxorubicin cause or induce?
C0013227,Pharmaceutical Preparations,phsu,CAUSES,C0879626,Adverse effects,patf,2010,27744855,27744855,,12881237,Which pathologic functions can Pharmaceutical Preparations cause or induce?
C0014644,"Herpesvirus 4, Human",virs,CAUSES,C0027651,Neoplasm,neop,2010,19997065,19997065,,18698027,"Which diseases or conditions can Herpesvirus 4, Human cause or induce?"
C0015259,Exercise,dora,CAUSES,C0019080,Hemorrhage,fndg,2010,19997051,19997051,,18679805,Which clinical findings can Exercise cause or induce?
C0016943,Galactosamine,bacs,CAUSES,C0175677,Injury,inpo,2010,19997066,19997066,,18698208,Which medical entities can Galactosamine cause or induce?
C0019247,Hereditary Diseases,dsyn,CAUSES,C0848889,"Morbidity, infant",patf,2010,18972209,18972209,,121299562,Which pathologic functions can Hereditary Diseases cause or induce?
C0019270,Hernia,dsyn,CAUSES,C0007859,Neck Pain,sosy,2010,19902277,19902277,,18655645,Which medical entities can Hernia cause or induce?
C0019557,Hip Fractures,inpo,CAUSES,C0231170,Disability NOS,patf,2010,27750957,27750957,,15346013,Which pathologic functions can Hip Fractures cause or induce?
C0021167,Incontinence,dsyn,CAUSES,C0042029,Urinary tract infection,dsyn,2010,27750957,27750957,,15346217,Which diseases or conditions can Incontinence cause or induce?
C0022679,Cystic kidney,dsyn,CAUSES,C0022680,Polycystic Kidney Diseases,dsyn,2010,19966811,19966811,,958086,Which diseases or conditions can Cystic kidney cause or induce?
C0023690,Ligation,topp,CAUSES,C0917798,Cerebral Ischemia,dsyn,2010,19902322,19902322,,18687494,Which diseases or conditions can Ligation cause or induce?
C0023810,Lipopolysaccharides,lipd,CAUSES,C0036690,Septicemia,dsyn,2010,19997048,19997048,,18674248,Which diseases or conditions can Lipopolysaccharides cause or induce?
C0023810,Lipopolysaccharides,lipd,CAUSES,C0376618,Endotoxemia,fndg,2010,19997048,19997048,,18674248,Which clinical findings can Lipopolysaccharides cause or induce?
C0027260|4893,N-ras Genes|NRAS,aapp,CAUSES,C0028326,Noonan Syndrome,cgab,2010,19966803,19966803,,952909,Which medical entities can N-ras Genes|NRAS cause or induce?
C0030193,Pain,sosy,CAUSES,C0042029,Urinary tract infection,dsyn,2010,27750957,27750957,,15346217,Which diseases or conditions can Pain cause or induce?
C0031154,Peritonitis,dsyn,CAUSES,C0036690,Septicemia,dsyn,2010,19997049,19997049,,18675743,Which diseases or conditions can Peritonitis cause or induce?
C0036690,Septicemia,dsyn,CAUSES,C0011065,Cessation of life,orgf,2010,19997046,19997046,,18670739,Which medical entities can Septicemia cause or induce?
C0039601,Testosterone,horm,CAUSES,C0242350,Erectile dysfunction,dsyn,2010,19997070,19997070,,18703197,Which diseases or conditions can Testosterone cause or induce?
C0055363,Chloride Channels,aapp,CAUSES,C0948755,Pulmonary failure,dsyn,2010,19966789,19966789,,942947,Which diseases or conditions can Chloride Channels cause or induce?
C0056889,Cystic Fibrosis Transmembrane Conductance Regulator,aapp,CAUSES,C0010674,Cystic Fibrosis,dsyn,2010,19966789,19966789,,942947,Which diseases or conditions can Cystic Fibrosis Transmembrane Conductance Regulator cause or induce?
C0079924,Oligohydramnios,dsyn,CAUSES,C0008732,Chylous Ascites,dsyn,2010,19902268,19902268,,18646183,Which diseases or conditions can Oligohydramnios cause or induce?
C0085504,Chlamydophila pneumoniae,rich,CAUSES,C0242379,Malignant neoplasm of lung,neop,2010,27755800,27755800,,16904600,Which diseases or conditions can Chlamydophila pneumoniae cause or induce?
C0087111,Therapeutic procedure,topp,CAUSES,C0231170,Disability NOS,patf,2010,27744843,27744843,,12879214,Which pathologic functions can Therapeutic procedure cause or induce?
C0162758,Serotonin Uptake Inhibitors,phsu,CAUSES,C0879626,Adverse effects,patf,2010,18982004,18982004,,121354856,Which pathologic functions can Serotonin Uptake Inhibitors cause or induce?
C0175677,Injury,inpo,CAUSES,C0546884,Hypovolemia,patf,2010,19997051,19997051,,18680741,Which pathologic functions can Injury cause or induce?
C0238506,Congenital posterior urethral valves,cgab,CAUSES,C0008732,Chylous Ascites,dsyn,2010,19902268,19902268,,18646183,Which diseases or conditions can Congenital posterior urethral valves cause or induce?
C1136170,Virulence Factors,bacs,CAUSES,C1155266,Inflammatory Response,patf,2010,19997045,19997045,,18669190,Which pathologic functions can Virulence Factors cause or induce?
C1512474,Histone Deacetylase Inhibitor,chvf,CAUSES,C0012634,Disease,dsyn,2010,19966789,19966789,,942395,Which diseases or conditions can Histone Deacetylase Inhibitor cause or induce?
C1514827,Regulatory Element,nusq,CAUSES,C0023467,"Leukemia, Myelocytic, Acute",neop,2010,19966852,19966852,,985082,Which diseases or conditions can Regulatory Element cause or induce?
C1522240,Process,phpr,CAUSES,C0012634,Disease,dsyn,2010,27721341,27721341,,1242439,Which diseases or conditions can Process cause or induce?
1642,DDB1,gngm,COEXISTS_WITH,C0384416,"V protein, Simian parainfluenza virus 5",aapp,2010,19966799,19966799,,948772,Which proteins commonly co-exists with DDB1?
4502|4544,MT2A|MTNR1B,gngm,COEXISTS_WITH,2067,ERCC1,gngm,2010,27721358,27721358,,1262625,Which genes commonly co-exists with MT2A|MTNR1B?
7911,SM1,gngm,COEXISTS_WITH,C0001962,Ethanol,orch,2010,19902282,19902282,,18660193,Which chemicals commonly co-exists with SM1?
C0001122,Acidosis,patf,COEXISTS_WITH,C0036983,Septic Shock,patf,2010,19997054,19997054,,18684191,Which pathologic functions commonly co-exists with Acidosis?
C0002903,Anesthesia procedures,topp,COEXISTS_WITH,C0184661,Procedures,hlca,2010,19902278,19902278,,18656971,Which medical entities commonly co-exists with Anesthesia procedures?
C0003695,Arachidonic Acid,eico,COEXISTS_WITH,C0031676,Phospholipids,bacs,2010,18982003,18982003,,121354862,Which active substances commonly co-exists with Arachidonic Acid?
C0005456,Binding Sites,rcpt,COEXISTS_WITH,C1519818,Upstream Enhancer,nusq,2010,19966852,19966852,,984728,Which medical entities commonly co-exists with Binding Sites?
C0007165,Cardiac Output,fndg,COEXISTS_WITH,C0036983,Septic Shock,patf,2010,25302436,25302436,,18691731,Which pathologic functions commonly co-exists with Cardiac Output?
C0007613,Cell physiology,celf,COEXISTS_WITH,C0007595,Cell Growth,celf,2010,18977251,18977251,,121328795,Which cell types commonly co-exists with Cell physiology?
C0007613,Cell physiology,celf,COEXISTS_WITH,C0010813,Cytokinesis,celf,2010,18977251,18977251,,121328795,Which cell types commonly co-exists with Cell physiology?
C0008732,Chylous Ascites,dsyn,COEXISTS_WITH,C0419384,Baby male,fndg,2010,19902268,19902268,,18646183,Which clinical findings commonly co-exists with Chylous Ascites?
C0017725,Glucose,bacs,COEXISTS_WITH,C0001962,Ethanol,orch,2010,19902282,19902282,,18660298,Which chemicals commonly co-exists with Glucose?
C0018798,Congenital Heart Defects,cgab,COEXISTS_WITH,C0008073,Child Development Disorders,mobd,2010,19966803,19966803,,953084,Which diseases or conditions commonly co-exists with Congenital Heart Defects?
C0021311,Infection,dsyn,COEXISTS_WITH,C0000737,Abdominal Pain,sosy,2010,27741668,27741668,,11478787,Which medical entities commonly co-exists with Infection?
C0021311,Infection,dsyn,COEXISTS_WITH,C0012359,Pathological Dilatation,patf,2010,27741668,27741668,,11478787,Which pathologic functions commonly co-exists with Infection?
C0021368,Inflammation,patf,COEXISTS_WITH,C0012634,Disease,dsyn,2010,27721340,27721340,,1241279,Which diseases or conditions commonly co-exists with Inflammation?
C0021368,Inflammation,patf,COEXISTS_WITH,C0036690,Septicemia,dsyn,2010,19997049,19997049,,18675339,Which diseases or conditions commonly co-exists with Inflammation?
C0023779,Lipids,lipd,COEXISTS_WITH,C0009545|727,Complement Membrane Attack Complex|C5,aapp,2010,19997064,19997064,,18696420,Which proteins commonly co-exists with Lipids?
C0024706,Manganese,bacs,COEXISTS_WITH,C0043047,Water,inch,2010,19902280,19902280,,18658256,Which medical entities commonly co-exists with Manganese?
C0028756,"Obesity, Morbid",dsyn,COEXISTS_WITH,C0008628,Chromosome Deletion,comd,2010,19966786,19966786,,936819,"Which medical entities commonly co-exists with Obesity, Morbid?"
C0030069,Oxyhemoglobin,aapp,COEXISTS_WITH,C1334043,Homologous Gene,gngm,2010,19997036,19997036,,18663818,Which genes commonly co-exists with Oxyhemoglobin?
C0030422,"Paraganglioma, Extra-Adrenal",neop,COEXISTS_WITH,C0027651,Neoplasm,neop,2010,19935059,19935059,,18698387,"Which diseases or conditions commonly co-exists with Paraganglioma, Extra-Adrenal?"
